strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years
CORE A - Asia Compression Breakout,5.0,12.0,0.4166666666666667,1440,220,-88.21800000000053,-0.4009909090909115,0.6136363636363636,0.8808499258502899,170.39100000000076,4,128,47,45,176,169.6809999999998,0.9640965909090898,0.7556818181818182,1.34592136084433,64.0,3,132,39,5,396,81.46299999999928,0.6767676767676768,1.0661809567369906,34,22.690000000000055,0.6176470588235294,17,1,16,58,-45.13200000000006,0.5517241379310345,29,12,17,45,-65.92399999999975,0.6,27,14,4,40,-22.110000000000582,0.6,24,10,6,43,22.25799999999981,0.7209302325581395,31,10,2,46,71.45299999999997,0.782608695652174,36,9,1,45,30.227999999999838,0.7333333333333333,32,9,4,50,12.0,0.72,36,14,0,35,56.0,0.8,28,7,0,True,2
CORE A - Asia Compression Breakout,5.0,15.0,0.3333333333333333,1440,220,-51.480999999999995,-0.23400454545454544,0.6409090909090909,0.9297564583097396,149.40699999999993,4,133,32,55,176,160.9369999999999,0.9144147727272721,0.7784090909090909,1.3117284847357888,77.39699999999993,3,135,30,11,396,109.4559999999999,0.702020202020202,1.0876232622405668,34,19.690000000000055,0.6176470588235294,17,1,16,58,-28.169999999999845,0.5689655172413793,30,6,22,45,-83.41099999999983,0.6222222222222222,28,12,5,40,-1.5840000000002874,0.65,25,6,9,43,41.993999999999915,0.7674418604651163,33,7,3,46,82.11599999999999,0.8043478260869565,37,5,4,45,26.217999999999847,0.7555555555555555,32,7,6,50,-2.3969999999999345,0.74,37,12,1,35,55.0,0.8285714285714286,29,6,0,False,2
CORE A - Asia Compression Breakout,5.0,20.0,0.25,1440,220,-102.85799999999995,-0.4675363636363634,0.65,0.8697754386586838,206.70100000000002,4,134,21,65,176,147.04300000000012,0.8354715909090916,0.8011363636363636,1.2672697562740045,96.89499999999998,3,139,23,14,396,44.18500000000017,0.7171717171717171,1.0329734376702404,34,24.049999999999955,0.6176470588235294,17,0,17,58,-50.013999999999896,0.5689655172413793,30,4,24,45,-109.47299999999973,0.6222222222222222,28,8,9,40,-19.996000000000322,0.65,25,4,11,43,52.575000000000045,0.813953488372093,34,5,4,46,93.22200000000021,0.8043478260869565,37,2,7,45,-8.782000000000153,0.7555555555555555,32,7,6,50,-12.396999999999935,0.78,39,10,1,35,75.0,0.8857142857142857,31,4,0,False,2
CORE A - Asia Compression Breakout,5.0,25.0,0.2,1440,220,-109.19200000000001,-0.4963272727272728,0.6545454545454545,0.8637118767825159,209.8860000000002,4,135,13,72,176,159.38800000000037,0.9056136363636385,0.8181818181818182,1.2883170351397024,92.15299999999979,3,142,18,16,396,50.19600000000037,0.7272727272727273,1.0370721864805723,34,24.049999999999955,0.6176470588235294,17,0,17,58,-70.0139999999999,0.5689655172413793,30,4,24,45,-95.68399999999974,0.6444444444444445,29,5,11,40,-17.29700000000048,0.65,25,1,14,43,49.753000000000156,0.813953488372093,34,3,6,46,83.22200000000021,0.8043478260869565,37,2,7,45,3.2080000000000837,0.7777777777777778,33,5,7,50,17.958000000000084,0.82,41,7,2,35,55.0,0.8857142857142857,31,4,0,True,2
CORE A - Asia Compression Breakout,5.0,30.0,0.16666666666666666,1440,220,-89.63499999999976,-0.4074318181818171,0.6590909090909091,0.8860516025363961,181.8050000000003,4,136,6,78,176,220.4409999999998,1.2525056818181808,0.8352272727272727,1.4349930639009092,93.05000000000018,3,145,10,21,396,130.80600000000004,0.7373737373737373,1.1011336813058945,34,24.049999999999955,0.6176470588235294,17,0,17,58,-72.30499999999984,0.5689655172413793,30,2,26,45,-59.69199999999955,0.6666666666666666,30,1,14,40,-16.441000000000486,0.65,25,0,15,43,34.753000000000156,0.813953488372093,34,3,6,46,73.22200000000021,0.8043478260869565,37,2,7,45,7.871000000000095,0.7777777777777778,33,2,10,50,69.3479999999995,0.86,43,3,4,35,70.0,0.9142857142857143,32,3,0,True,2
CORE A - Asia Compression Breakout,5.0,35.0,0.14285714285714285,1440,220,-66.8119999999999,-0.3036909090909086,0.6636363636363637,0.9130962988013867,177.50600000000009,4,137,4,79,176,246.721,1.4018238636363636,0.8409090909090909,1.508190710809102,88.34999999999991,3,146,7,23,396,179.9090000000001,0.7424242424242424,1.143434473895275,34,24.049999999999955,0.6176470588235294,17,0,17,58,-69.48199999999997,0.5689655172413793,30,1,27,45,-64.69199999999955,0.6666666666666666,30,1,14,40,-16.441000000000486,0.65,25,0,15,43,59.753000000000156,0.8372093023255814,35,2,6,46,63.22200000000021,0.8043478260869565,37,2,7,45,34.151000000000295,0.7777777777777778,33,0,12,50,54.3479999999995,0.86,43,3,4,35,95.0,0.9428571428571428,33,2,0,True,2
CORE A - Asia Compression Breakout,6.0,8.0,0.75,1440,220,-74.35800000000017,-0.3379909090909099,0.5318181818181819,0.8969638435349168,150.66700000000037,6,103,82,35,176,100.25199999999995,0.569613636363636,0.6079545454545454,1.1850528289906006,58.0,4,107,67,2,396,25.893999999999778,0.5656565656565656,1.0204952125861848,34,26.642000000000053,0.6176470588235294,14,6,14,58,-80.87200000000007,0.43103448275862066,18,21,19,45,-24.0,0.5333333333333333,24,21,0,40,-16.128000000000156,0.525,21,17,2,43,20.0,0.6046511627906976,26,17,0,46,72.75,0.6739130434782609,31,14,1,45,7.501999999999953,0.5777777777777777,26,18,1,50,48.0,0.64,32,18,0,35,-28.0,0.5142857142857142,18,17,0,False,2
CORE A - Asia Compression Breakout,6.0,10.0,0.6,1440,220,-106.94300000000021,-0.4861045454545464,0.5636363636363636,0.8656923544497105,197.29200000000037,4,110,69,41,176,139.75399999999968,0.7940568181818164,0.6647727272727273,1.2511546493280563,72.0,3,116,54,6,396,32.81099999999947,0.6085858585858586,1.0242559325792855,34,29.241999999999962,0.6176470588235294,14,2,18,58,-58.87200000000007,0.5,22,17,19,45,-64.76699999999983,0.5333333333333333,24,20,1,40,-34.128000000000156,0.55,22,16,2,43,21.58199999999988,0.6511627906976745,28,14,1,46,76.27199999999993,0.6956521739130435,32,11,3,45,17.481999999999744,0.6444444444444445,28,14,3,50,44.0,0.68,34,16,0,35,2.0,0.6285714285714286,22,13,0,True,2
CORE A - Asia Compression Breakout,6.0,12.0,0.5,1440,220,-66.71300000000087,-0.30324090909091306,0.5909090909090909,0.915409789503981,169.06200000000104,4,114,51,55,176,224.7829999999999,1.2771761363636358,0.7272727272727273,1.422762836185819,60.0,3,126,42,8,396,158.06999999999903,0.6515151515151515,1.1197172591435214,34,28.19899999999984,0.6176470588235294,14,1,19,58,-53.77300000000014,0.5172413793103449,23,13,22,45,-42.28699999999981,0.6,25,14,6,40,-16.110000000000582,0.575,23,11,6,43,17.25799999999981,0.6744186046511628,29,12,2,46,66.55500000000006,0.717391304347826,32,10,4,45,44.22799999999984,0.7111111111111111,31,10,4,50,48.0,0.72,36,14,0,35,66.0,0.7714285714285715,27,8,0,True,2
CORE A - Asia Compression Breakout,6.0,15.0,0.4,1440,220,-27.91000000000031,-0.12686363636363776,0.6181818181818182,0.964404777998556,145.25900000000047,4,119,35,66,176,189.039,1.0740852272727273,0.7443181818181818,1.3251142824711843,73.39699999999993,3,128,34,14,396,161.12899999999968,0.6742424242424242,1.1179958522146418,34,25.19899999999984,0.6176470588235294,14,1,19,58,-29.74499999999989,0.5344827586206896,24,6,28,45,-58.77399999999989,0.6222222222222222,26,12,7,40,2.4159999999997126,0.625,24,7,9,43,32.993999999999915,0.7209302325581395,31,9,3,46,75.21800000000007,0.7391304347826086,33,6,7,45,37.21799999999985,0.7333333333333333,31,8,6,50,34.603000000000065,0.74,37,12,1,35,42.0,0.7714285714285715,27,8,0,True,3
