strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years,smooth_score,profit_score
CORE A - Asia Compression Breakout,30.0,15.0,2.0,1440,220,2.570000000000846,0.011681818181822026,0.4818181818181818,1.0025247241223154,178.08899999999971,6,12,45,163,176,548.0050000000003,3.1136647727272746,0.5056818181818182,1.500709484246526,183.47800000000052,8,39,65,72,396,550.5750000000012,0.49242424242424243,1.26064079076307,34,7.388999999999669,0.5588235294117647,0,1,33,58,-133.57099999999946,0.41379310344827586,0,9,49,45,7.222000000000435,0.4444444444444444,6,16,23,40,91.32000000000039,0.6,1,7,32,43,30.20999999999981,0.4418604651162791,5,12,26,46,127.55600000000072,0.5652173913043478,2,10,34,45,155.87300000000005,0.5333333333333333,9,12,24,50,69.57599999999957,0.46,12,24,14,35,195.0,0.45714285714285713,16,19,0,True,4,1.0701618570443445,39.54775751897134
CORE B - Thu/Fri Asia Close Breakout,12.0,20.0,0.6,480,482,164.1720000000014,0.3406058091286336,0.5228215767634855,1.094022860271488,148.5630000000001,6,116,24,342,324,372.4850000000008,1.1496450617283975,0.5987654320987654,1.22358123738741,168.78999999999996,7,159,61,104,806,536.6570000000022,0.5533498759305211,1.157281482263019,97,7.079000000000178,0.4845360824742268,7,0,90,97,-90.94000000000028,0.422680412371134,13,2,82,91,29.605000000000473,0.5384615384615384,27,9,55,97,80.29400000000055,0.5567010309278351,33,6,58,100,138.13400000000047,0.61,36,7,57,98,29.964000000000397,0.4897959183673469,32,7,59,99,201.46500000000083,0.6565656565656566,48,16,35,81,101.05599999999959,0.6296296296296297,49,22,10,46,40.0,0.6521739130434783,30,16,0,True,4,0.9733929920374941,19.03924829671927
CORE B - Thu/Fri Asia Close Breakout,12.0,25.0,0.48,480,482,150.81300000000124,0.3128900414937785,0.5228215767634855,1.0857162343807287,150.87400000000025,6,116,15,351,324,359.44800000000055,1.1094074074074092,0.6141975308641975,1.2066944177533354,207.3699999999999,7,164,46,114,806,510.2610000000018,0.5595533498759305,1.1458523654299764,97,7.079000000000178,0.4845360824742268,7,0,90,97,-92.07000000000039,0.422680412371134,13,1,83,91,37.77600000000052,0.5384615384615384,27,5,59,97,91.13200000000052,0.5567010309278351,33,3,61,100,106.89600000000041,0.61,36,6,58,98,14.633000000000266,0.4897959183673469,32,4,62,99,205.91600000000085,0.6666666666666666,49,11,39,81,67.89899999999943,0.6419753086419753,50,18,13,46,71.0,0.717391304347826,33,13,0,True,4,0.9746763096676573,17.926637495996367
CORE B - Thu/Fri Asia Close Breakout,12.0,30.0,0.4,480,482,145.60500000000116,0.3020850622406663,0.5228215767634855,1.08251197260878,151.62800000000016,6,116,8,358,324,434.83600000000024,1.342086419753087,0.6265432098765432,1.254045966360976,169.23999999999978,7,168,31,125,806,580.4410000000014,0.5645161290322581,1.1669711094797455,97,7.079000000000178,0.4845360824742268,7,0,90,97,-87.03000000000043,0.422680412371134,13,0,84,91,26.982000000000653,0.5384615384615384,27,3,61,97,76.13200000000052,0.5567010309278351,33,3,61,100,122.44200000000023,0.61,36,2,62,98,9.605999999999995,0.4897959183673469,32,2,64,99,227.47500000000105,0.6666666666666666,49,5,45,81,107.7549999999992,0.6666666666666666,52,13,16,46,90.0,0.7608695652173914,35,11,0,True,4,1.0654892176628772,22.503262450509716
CORE B - Thu/Fri Asia Close Breakout,12.0,35.0,0.34285714285714286,480,482,138.01100000000088,0.286329875518674,0.5228215767634855,1.0778734566908568,161.62800000000016,6,116,4,362,324,424.9150000000004,1.3114660493827173,0.6296296296296297,1.2451106506595662,185.60699999999952,7,169,22,133,806,562.9260000000013,0.56575682382134,1.1605694089042455,97,7.079000000000178,0.4845360824742268,7,0,90,97,-87.03000000000043,0.422680412371134,13,0,84,91,11.982000000000653,0.5384615384615384,27,3,61,97,82.41400000000044,0.5567010309278351,33,1,63,100,123.56600000000003,0.61,36,0,64,98,10.266000000000076,0.4897959183673469,32,1,65,99,234.41800000000103,0.6666666666666666,49,1,49,81,98.23099999999931,0.6666666666666666,52,10,19,46,82.0,0.782608695652174,36,10,0,True,4,1.058082581789567,21.78708548648785
CORE B - Thu/Fri Asia Close Breakout,15.0,10.0,1.5,480,482,56.20100000000343,0.11659958506224778,0.46887966804979253,1.0308131680636536,161.77799999999888,6,78,149,255,324,162.88299999999958,0.5027253086419741,0.4506172839506173,1.099806187894188,122.37900000000013,7,106,153,65,806,219.08400000000302,0.46153846153846156,1.0633938102173062,97,12.414999999999736,0.4845360824742268,4,7,86,97,-73.71999999999935,0.41237113402061853,7,26,64,91,-23.91799999999921,0.45054945054945056,18,42,31,97,46.93600000000038,0.4742268041237113,26,40,31,100,94.48800000000188,0.52,23,34,43,98,4.405999999999494,0.4387755102040816,23,38,37,99,10.311000000000377,0.46464646464646464,28,48,23,81,58.16599999999971,0.43209876543209874,33,43,5,46,90.0,0.4782608695652174,22,24,0,True,3,0.6071110016671833,7.840236483739661
CORE B - Thu/Fri Asia Close Breakout,15.0,12.0,1.25,480,482,79.0380000000041,0.1639792531120417,0.487551867219917,1.0424209765873673,142.41599999999926,6,81,108,293,324,221.68599999999992,0.6842160493827159,0.49382716049382713,1.1300028148530412,106.1740000000002,7,113,127,84,806,300.724000000004,0.49007444168734493,1.084273664942096,97,7.648000000000138,0.4845360824742268,4,4,89,97,-97.39399999999932,0.41237113402061853,7,20,70,91,3.5640000000007603,0.4835164835164835,20,31,40,97,50.39600000000064,0.4948453608247423,27,28,42,100,114.82400000000189,0.56,23,25,52,98,19.555999999999585,0.46938775510204084,23,27,48,99,21.168000000000802,0.5151515151515151,29,40,30,81,111.96199999999953,0.49382716049382713,38,37,6,46,69.0,0.5,23,23,0,True,4,0.71129077039315,11.27364931111684
CORE B - Thu/Fri Asia Close Breakout,15.0,15.0,1.0,480,482,96.92200000000321,0.20108298755187387,0.5,1.0513418964961962,150.39099999999962,6,82,64,336,324,330.64200000000005,1.0205000000000002,0.5308641975308642,1.1888730975137725,93.82300000000032,7,122,96,106,806,427.56400000000326,0.5124069478908189,1.1175149379668983,97,7.8250000000000455,0.4845360824742268,4,1,92,97,-81.769,0.422680412371134,7,8,82,91,-22.60199999999918,0.4945054945054945,20,22,49,97,80.74600000000055,0.5257731958762887,27,16,54,100,112.7220000000018,0.57,24,17,59,98,74.76599999999962,0.4897959183673469,25,16,57,99,87.64800000000082,0.5656565656565656,32,28,39,81,48.22799999999961,0.5061728395061729,38,33,10,46,120.0,0.5869565217391305,27,19,0,True,3,0.8613466680571344,17.459100964627066
CORE B - Thu/Fri Asia Close Breakout,15.0,20.0,0.75,480,482,283.63500000000226,0.5884543568464777,0.5186721991701245,1.1612832605676984,125.51500000000078,6,84,24,374,324,443.9399999999998,1.3701851851851847,0.5679012345679012,1.2489999394242612,163.78999999999996,7,131,66,127,806,727.5750000000021,0.5384615384615384,1.2054422610042173,97,10.78300000000013,0.4845360824742268,4,0,93,97,-78.59100000000035,0.422680412371134,7,2,88,91,74.92600000000061,0.5384615384615384,22,9,60,97,132.21800000000053,0.5463917525773195,27,6,64,100,144.29900000000134,0.6,24,7,69,98,82.48099999999977,0.4897959183673469,25,7,66,99,154.37100000000078,0.6161616161616161,34,18,47,81,112.08799999999928,0.5679012345679012,43,24,14,46,95.0,0.6304347826086957,29,17,0,True,4,1.0156286891794248,23.06278332424697
CORE B - Thu/Fri Asia Close Breakout,15.0,25.0,0.6,480,482,270.2760000000021,0.5607385892116227,0.5186721991701245,1.1525282834445008,126.64500000000089,6,84,15,383,324,481.35599999999954,1.4856666666666651,0.5864197530864198,1.2622513179142627,209.3699999999999,7,137,49,138,806,751.6320000000017,0.5459057071960298,1.208355544319546,97,10.78300000000013,0.4845360824742268,4,0,93,97,-79.72100000000046,0.422680412371134,7,1,89,91,83.09700000000066,0.5384615384615384,22,5,64,97,143.0560000000005,0.5463917525773195,27,3,67,100,113.06100000000129,0.6,24,6,70,98,67.14999999999964,0.4897959183673469,25,4,69,99,172.27500000000077,0.6262626262626263,35,12,52,81,71.93099999999913,0.5802469135802469,44,20,17,46,170.0,0.717391304347826,33,13,0,True,4,1.0724075040348657,24.687637697687112
