engine,tp,sl,filter,train_n,train_final,train_multiple,train_dd,train_wr,train_pos_years,modern_final,modern_dd,train_score,retain_train
B,6,10,emaAligned,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,270.26600000000303,0.7600800430081784,-1000000000.0,1.0
B,6,10,prevRoom>=0,156,95.33099999999968,0.31776999999999894,0.7507210526453414,0.47435897435897434,0,189.58300000000145,0.604545130302452,-1000000000.0,0.6950207468879668
B,6,10,prevDist>=0.25,176,98.9910000000018,0.32997000000000604,0.6910007491571931,0.4659090909090909,0,271.86200000000304,0.7637054123225747,-1000000000.0,0.9336099585062241
B,6,10,prevDist>=0.50,233,93.14100000000144,0.3104700000000048,0.7030747405837028,0.5107296137339056,0,222.54600000000255,0.6465335310461358,-1000000000.0,0.8049792531120332
B,6,10,break>=0.05,305,230.80000000000177,0.7693333333333392,0.6471664278234738,0.5737704918032787,2,675.3490000000052,0.6700516424834345,-1000000000.0,0.6327800829875518
B,6,10,break>=0.10,228,180.14200000000096,0.6004733333333365,0.6462714874913438,0.5570175438596491,2,459.70000000000255,0.566682241431096,-1000000000.0,0.4730290456431535
B,6,10,break<=0.25,204,95.05500000000188,0.3168500000000063,0.7030403568951564,0.4950980392156863,0,97.71500000000196,0.7540313039625798,-1000000000.0,0.7842323651452282
B,6,10,asiaRatio>=0.80,151,99.15800000000263,0.33052666666667546,0.6694733333333246,0.48344370860927155,0,189.7060000000015,0.7159881951583749,-1000000000.0,0.6680497925311203
B,6,10,time<=12,180,96.12500000000091,0.3204166666666697,0.6957886708378006,0.4722222222222222,0,98.62900000000127,0.6898459119496816,-1000000000.0,0.7780082987551867
B,6,10,time<=13,222,91.68500000000063,0.30561666666666876,0.7098401486165288,0.4864864864864865,0,92.06700000000183,0.7530206131361751,-1000000000.0,0.8423236514522822
B,6,10,LONG,263,212.60800000000154,0.7086933333333385,0.5540551704655959,0.5665399239543726,3,321.8380000000011,0.5878809060771933,-1000000000.0,0.5456431535269709
B,6,10,SHORT,100,97.28500000000031,0.32428333333333437,0.6763779344206656,0.45,0,253.55600000000163,0.5747733333333304,-1000000000.0,0.45435684647302904
B,6,10,Thu-Fri,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,270.26600000000303,0.7600800430081784,-1000000000.0,1.0
B,6,10,spread<=10%TP,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,99.87700000000177,0.7705380158339921,-1000000000.0,0.9688796680497925
B,6,10,spread<=15%TP,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,270.26600000000303,0.7600800430081784,-1000000000.0,0.9896265560165975
B,6,10,lowSpread+close,251,99.55300000000034,0.33184333333333443,0.6965402670243231,0.549800796812749,1,282.25600000000213,0.6854600203223464,-1000000000.0,0.6556016597510373
B,6,10,body+close,302,238.7720000000013,0.795906666666671,0.6597699064205449,0.5827814569536424,2,408.3250000000023,0.5962205743775786,-1000000000.0,0.6265560165975104
B,6,10,trend+mom,253,95.44000000000165,0.3181333333333388,0.7543770250898786,0.5059288537549407,0,277.3590000000029,0.7514533406262506,-1000000000.0,0.979253112033195
B,6,10,trend+close,253,95.55300000000034,0.3185100000000011,0.7087331585685529,0.5454545454545454,1,289.46300000000224,0.6620269663317131,-1000000000.0,0.6597510373443983
B,6,10,trend+lowSpread,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,268.498000000003,0.7370167430648614,-1000000000.0,0.9854771784232366
B,6,10,break+trend,304,230.59400000000164,0.7686466666666721,0.6471664278234738,0.5723684210526315,2,654.818000000005,0.6696396626031533,-1000000000.0,0.6307053941908713
B,6,10,prevRoom+trend,146,99.33099999999968,0.33110333333333225,0.7402615401109229,0.4657534246575342,0,189.57700000000136,0.5816345056541118,-1000000000.0,0.6908713692946058
B,6,10,prevDist+trend,176,98.9910000000018,0.32997000000000604,0.6910007491571931,0.4659090909090909,0,90.30500000000188,0.7814422560299678,-1000000000.0,0.9315352697095436
B,6,10,early+trend,222,91.68500000000063,0.30561666666666876,0.7098401486165288,0.4864864864864865,0,92.06700000000183,0.7530206131361751,-1000000000.0,0.8423236514522822
B,6,10,lowSpread+body,290,91.29700000000116,0.3043233333333372,0.7110680705485419,0.5172413793103449,1,315.56400000000235,0.7166256706314857,-1000000000.0,0.8402489626556017
