family,variant,n_2023,n_2024,n_2025,n_2026
13_14_ema_cont,th=8.0,1,9,47,58
08_09_cont,th=8.0,2,13,61,89
08_09_fade,th=8.0,2,13,61,89
08_09_ema_cont,th=8.0,2,13,60,86
14_15_cont,th=10.0,1,5,35,69
14_15_fade,th=10.0,1,5,35,69
14_15_ema_cont,th=10.0,1,5,35,69
08_09_cont,th=10.0,0,9,37,79
08_09_fade,th=10.0,0,9,37,79
08_09_ema_cont,th=10.0,0,9,36,78
13_14_cont,th=10.0,0,4,34,44
13_14_fade,th=10.0,0,4,34,44
13_14_ema_cont,th=10.0,0,4,34,43
