tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
840,20.0,20.0,1.0,0.7,False,False,67,26,41,0.3880597014925373,-292.6520000000005,-4.36794029850747,0.5429283621438254,360.82699999999977,11,8,13,27,19,4.210999999999785,-2.036000000000513,-125.74699999999984,-169.07999999999993
840,20.0,15.0,1.3333333333333333,0.5,True,False,579,252,327,0.43523316062176165,-369.175999999999,-0.6376096718480121,0.9027550915312673,435.8580000000002,9,167,161,164,87,-174.6870000000008,-6.3649999999984175,-108.1239999999998,-80.0
840,20.0,15.0,1.3333333333333333,0.52,True,False,474,212,262,0.4472573839662447,-226.13899999999762,-0.47708649789029034,0.926540944817434,351.2869999999998,8,127,138,139,70,-163.84700000000043,39.89800000000196,-102.18999999999915,0.0
840,20.0,15.0,1.3333333333333333,0.54,False,False,384,176,208,0.4583333333333333,-49.66199999999844,-0.12932812499999594,0.9794470885237767,206.2869999999998,7,99,114,111,60,-151.76200000000063,36.35300000000143,20.747000000000753,45.0
840,20.0,15.0,1.3333333333333333,0.56,False,False,291,135,156,0.4639175257731959,-13.645999999998594,-0.046893470790373176,0.9926068594864468,208.31399999999985,9,67,88,90,46,-64.46800000000098,59.88700000000108,-19.06499999999869,10.0
840,20.0,15.0,1.3333333333333333,0.58,False,False,219,103,116,0.4703196347031963,-39.41399999999885,-0.17997260273972077,0.9723345682426626,145.51699999999983,9,49,63,66,41,-26.446000000000822,29.200000000000728,-22.167999999998756,-20.0
840,20.0,15.0,1.3333333333333333,0.6,False,False,156,72,84,0.46153846153846156,-78.11999999999944,-0.5007692307692272,0.9249561956287854,148.38299999999936,7,32,42,51,31,-21.395000000000664,-28.463999999999714,-53.26099999999906,25.0
840,20.0,15.0,1.3333333333333333,0.62,False,False,114,48,66,0.42105263157894735,-201.5269999999996,-1.7677807017543823,0.7512291828942678,266.5269999999996,8,23,31,39,21,-35.566000000000486,-39.667000000000144,-91.29399999999896,-35.0
840,20.0,15.0,1.3333333333333333,0.64,False,False,84,36,48,0.42857142857142855,-149.65300000000002,-1.7815833333333335,0.757888095257355,230.89799999999877,7,16,23,28,17,-19.541000000000395,-18.16500000000042,-66.9469999999992,-45.0
840,20.0,15.0,1.3333333333333333,0.66,False,False,66,29,37,0.4393939393939394,-98.55700000000047,-1.4932878787878858,0.7990457645607553,203.24799999999914,5,11,18,24,13,-21.115000000000464,-15.4950000000008,-76.9469999999992,15.0
840,20.0,15.0,1.3333333333333333,0.68,False,False,50,19,31,0.38,-148.27300000000037,-2.9654600000000073,0.6297294260135594,188.27300000000037,5,8,14,19,9,-15.251000000000431,-50.08500000000049,-52.93699999999944,-30.0
840,20.0,15.0,1.3333333333333333,0.7,False,False,33,8,25,0.24242424242424243,-222.6550000000011,-6.747121212121246,0.3417792992538446,242.6550000000011,9,2,12,14,5,-28.26000000000022,-42.035000000000764,-112.36000000000013,-40.0
840,25.0,20.0,1.25,0.5,True,False,686,314,372,0.4577259475218659,-70.72399999999948,-0.10309620991253568,0.986188766157517,369.491,11,184,178,190,134,-127.01600000000167,183.10400000000118,-160.24199999999928,33.43000000000029
840,25.0,20.0,1.25,0.52,True,False,583,267,316,0.45797598627787306,-132.36700000000064,-0.22704459691252254,0.9701153577399408,370.4340000000002,8,143,152,169,119,-212.3690000000015,204.68700000000035,-169.28499999999985,44.600000000000364
840,25.0,20.0,1.25,0.54,True,False,468,223,245,0.47649572649572647,234.96599999999899,0.5020641025641004,1.0680051239869384,269.2750000000001,7,107,120,140,101,-81.49400000000128,328.5330000000006,-36.51299999999992,24.4399999999996
840,25.0,20.0,1.25,0.56,False,False,370,171,199,0.46216216216216216,28.886999999999944,0.07807297297297282,1.0100551471931947,356.5980000000004,9,79,89,117,85,-59.4500000000005,264.3320000000008,-97.23500000000013,-78.76000000000022
840,25.0,20.0,1.25,0.58,False,False,289,133,156,0.4602076124567474,-107.20499999999856,-0.37095155709342065,0.9543859171385652,443.5039999999999,7,50,74,97,68,17.49000000000001,193.78300000000058,-299.22799999999916,-19.25
840,25.0,20.0,1.25,0.6,False,False,211,96,115,0.4549763033175355,-214.49099999999999,-1.0165450236966824,0.8805814507652017,452.2379999999989,8,40,45,68,58,61.808999999999514,41.514999999999645,-273.56499999999915,-44.25
