tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
600,25.0,20.0,1.25,0.52,True,False,625,291,334,0.4656,-258.6220000000028,-0.41379520000000447,0.9466012170831007,529.3169999999982,9,167,169,177,112,-40.47700000000168,68.301999999999,16.39299999999912,-302.83999999999924
600,25.0,20.0,1.25,0.54,True,False,502,232,270,0.46215139442231074,-378.86700000000224,-0.7547151394422356,0.9049430649938462,509.8209999999981,9,122,132,154,94,-102.31800000000112,57.876999999998816,-76.5860000000007,-257.83999999999924
600,25.0,20.0,1.25,0.56,False,False,386,183,203,0.4740932642487047,-101.21600000000103,-0.26221761658031356,0.9658460670472043,351.81099999999833,8,88,97,122,79,-65.44700000000103,96.5759999999998,5.494999999999436,-137.83999999999924
600,25.0,20.0,1.25,0.58,False,False,290,135,155,0.46551724137931033,-99.66699999999992,-0.3436793103448273,0.9548929926573883,300.2569999999987,6,65,71,96,58,-25.151000000000295,25.121999999999844,23.20199999999977,-122.83999999999924
600,25.0,20.0,1.25,0.6,False,False,218,100,118,0.45871559633027525,-112.54299999999967,-0.5162522935779801,0.9352536569145112,368.28699999999844,10,45,55,76,42,-41.29300000000035,74.18999999999983,33.29999999999973,-178.73999999999887
600,25.0,20.0,1.25,0.62,False,False,161,72,89,0.4472049689440994,-185.25299999999993,-1.1506397515527946,0.8590157671472863,338.7399999999989,11,34,42,54,31,0.55600000000004,66.493999999999,-113.5630000000001,-138.73999999999887
600,25.0,20.0,1.25,0.64,False,False,113,48,65,0.4247787610619469,-223.5229999999999,-1.9780796460176984,0.7663547885022843,321.13699999999926,9,26,29,35,23,-29.41199999999958,97.14199999999846,-222.51299999999992,-68.73999999999887
600,25.0,20.0,1.25,0.66,False,False,82,34,48,0.4146341463414634,-111.25399999999922,-1.356756097560966,0.8424581590995028,226.0030000000006,9,16,23,27,16,-17.275999999999613,55.05899999999929,-175.29700000000003,26.260000000001128
600,25.0,20.0,1.25,0.68,False,False,53,21,32,0.39622641509433965,-101.19899999999916,-1.9094150943396069,0.7795305610261966,171.71900000000005,6,11,16,13,13,-4.221999999999753,-10.760000000000218,-78.12699999999995,-8.089999999999236
600,25.0,20.0,1.25,0.7,False,False,33,15,18,0.45454545454545453,22.080000000000382,0.6690909090909206,1.0934702084876724,82.70499999999993,5,6,12,8,7,-10.235000000000127,-10.054999999999836,-12.900000000000091,55.27000000000044
