tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reentries,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reentries,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
10.0,10.0,501.9200000000012,0.34578324724476817,0.6451104100946372,3,672.3390000000006,0.34528168157588973,0.7043650793650794,2,195,0.09933906409356401,0.049999000019999566,195.9989999999991,0.4016065115313473,0.5374449339207048,1,1571.9299999999978,0.6007457133881192,0.6889250814332247,4,195,0.19686395716240335,0.19941422072661583,0.3143900000000015,0.6858593466677809,0.5402933075396759,0.5351928354477369
10.0,12.0,458.98500000000104,0.33803208671308815,0.6485623003194888,4,358.82500000000005,0.4327131882095495,0.7063655030800822,2,178,0.09824268399012662,0.04990933138132385,198.81699999999933,0.39605647664931276,0.5285714285714286,1,905.7449999999983,0.5702388518951937,0.6889250814332247,4,195,0.17027435455377518,0.19166879631995934,0.25292666666666874,0.4597023502306572,0.2917509614157845,0.27795610551044514
10.0,15.0,194.16299999999933,0.3915865007990497,0.6246418338108882,1,469.42800000000057,0.3997033017106399,0.7207392197125256,3,178,0.09583018890525978,0.04989339444719773,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1257.0639999999992,0.5852675386000504,0.7003257328990228,4,195,0.18933477227760284,0.19258870515391457,0.39385666666666874,0.4985471963879582,0.33582284864385037,0.5017537488172952
10.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,668.3329999999999,0.4801890249740553,0.775175644028103,3,118,0.09995839231919715,0.04982548623446384,198.02099999999905,0.3847700122722276,0.5360824742268041,0,1213.8459999999975,0.5831116198176383,0.725,4,141,0.18782737724893991,0.19853727661454218,0.4709233333333349,0.33106869381363313,0.47070160205662304,0.40516480946835554
12.0,6.0,557.5460000000048,0.5491858566344512,0.6167192429022083,3,189.67399999999998,0.5120524390432143,0.6204819277108434,0,56,0.09538617091294105,0.04909762653890372,1049.2050000000067,0.49663266462830286,0.6110363391655451,4,1965.1010000000024,0.5241756559331743,0.6498371335504886,4,195,0.1822113857061996,0.19978004217356643,0.12009333333333339,0.7810212244217836,0.7964068554471075,0.8278291993031335
12.0,8.0,533.5420000000024,0.48372433642702384,0.6309148264984227,3,806.974000000002,0.3431130318417091,0.6765873015873016,2,195,0.09864681235156714,0.05,196.291999999999,0.38724812311726736,0.5374449339207048,1,1507.453,0.48050041704554947,0.6661237785016286,4,195,0.19057547122167454,0.1958969386205914,0.09539000000000053,0.616517100454332,0.9228617414794331,0.4757928167032648
12.0,10.0,577.5740000000019,0.39913588855618687,0.6419558359621451,3,991.6520000000016,0.33277609619282905,0.7003968253968254,4,195,0.09393508146519922,0.04991753623014771,197.67499999999905,0.3964896104927021,0.5374449339207048,1,3017.136999999999,0.546789240751039,0.6856677524429967,4,195,0.19884428858839742,0.19884428858839742,0.32833000000000157,1.0428332317019642,1.0614236911703765,0.79790863320456
12.0,12.0,495.51600000000167,0.3874222683205217,0.6455696202531646,3,455.1470000000006,0.422850071384079,0.7034764826175869,2,180,0.09921939143786246,0.04970899525693328,195.86999999999944,0.4050085358963309,0.5348837209302325,1,1305.9239999999993,0.5399961551504786,0.6872964169381107,4,195,0.19302131437864042,0.19917838914477776,0.2668666666666688,0.4701231384518232,0.4692546556059636,0.5907976865093485
12.0,15.0,196.16299999999933,0.38531946228809805,0.6246418338108882,1,530.3100000000011,0.38846896643580103,0.7169042769857433,3,182,0.0998934469898773,0.049967521111277606,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1623.7109999999993,0.5671024638915139,0.6986970684039088,4,195,0.18153581111561937,0.19974153445441584,0.4657733333333356,0.4808610699244078,0.6826493975570549,0.4818788895977135
12.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,792.3930000000003,0.4269982958101587,0.775175644028103,3,118,0.09951602042068733,0.04997544956040344,198.02099999999905,0.3847700122722276,0.5360824742268041,0,2298.0409999999965,0.5788709437755277,0.7243150684931506,4,165,0.1809906783336709,0.19959671483767083,0.6899566666666685,0.6116389572119183,0.893377637440639,0.4854428551020957
