family,variant,exit,rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,time_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl
ensemble_840,majority,A25_R1,1.0,257,259,258,164,13.442500000000052,-32.939375000000155,-326.2792500000021,-254.9660000000016,938,434,504,0.4626865671641791,434,504,0,-600.7421250000039,-0.6404500266524561,0.8565433863887968,765.6447500000038,10,2025-10-20,2025-10-31,8.288382329424303,8.288382329424303
ensemble_840,majority,A25_R125,1.25,257,259,258,164,-35.360593749999936,-45.32321874999974,-221.84546875000225,-117.52575000000104,938,385,553,0.41044776119402987,385,553,0,-420.05503125000297,-0.44781986273987523,0.9067758205607501,659.8965312500035,11,2023-01-24,2023-02-07,10.360477911780379,8.288382329424303
ensemble_840,majority,R60_R1,1.0,257,259,258,164,-26.95399999999927,-9.686500000003207,-425.80650000000287,-216.62049999999863,938,443,495,0.4722814498933902,443,495,0,-679.067500000004,-0.7239525586353986,0.8521571480791804,791.3480000000059,8,2023-04-18,2023-04-27,9.069589019189772,9.069589019189772
ensemble_840,majority,R60_R125,1.25,257,259,258,164,-85.77412499999991,-34.63850000000372,-566.0708750000038,-137.9263749999983,938,388,550,0.4136460554371002,388,550,0,-824.4098750000057,-0.8789017857142918,0.8381182761177433,1056.513375000007,10,2024-09-17,2024-09-30,11.336986273987218,9.069589019189772
ema_trend_600,all,10_10,1.0,178,181,172,101,-380.0,190.0,240.0,-190.0,632,309,323,0.4889240506329114,309,323,0,-140.0,-0.22151898734177214,0.9566563467492261,420.0,11,2023-02-07,2023-02-22,10.0,10.0
ema_trend_600,all,15_15,1.0,178,181,172,101,-210.0,135.0,210.0,-195.0,632,314,318,0.49683544303797467,314,318,0,-60.0,-0.0949367088607595,0.9874213836477987,315.0,10,2026-03-25,2026-04-14,15.0,15.0
ema_trend_600,all,20_20,1.0,178,181,172,101,-320.0,420.0,440.0,-60.0,632,328,304,0.5189873417721519,328,304,0,480.0,0.759493670886076,1.0789473684210527,460.0,7,2023-04-20,2023-05-01,20.0,20.0
ema_trend_600,all,20_15,1.3333333333333333,178,181,172,101,-115.0,330.0,220.0,-185.0,632,278,354,0.439873417721519,278,354,0,250.0,0.39556962025316456,1.0470809792843692,285.0,10,2026-03-25,2026-04-14,20.0,15.0
ema_trend_600,all,25_20,1.25,178,181,172,101,-500.0,520.0,160.0,-85.0,632,283,349,0.4477848101265823,283,349,0,95.0,0.15031645569620253,1.0136103151862463,535.0,9,2023-04-17,2023-05-01,25.0,20.0
ema_trend_600,all,30_25,1.2,178,181,172,101,-325.0,535.0,-10.0,-105.0,632,289,343,0.4572784810126582,289,343,0,95.0,0.15031645569620253,1.0110787172011662,715.0,12,2023-02-07,2023-02-24,30.0,25.0
ema_trend_600,all,40_30,1.3333333333333333,178,181,172,101,50.0,520.0,20.0,-20.0,632,279,353,0.44145569620253167,279,353,0,570.0,0.9018987341772152,1.0538243626062322,650.0,12,2023-02-07,2023-02-24,40.0,30.0
ema_trend_600,all,A25_R1,1.0,177,178,170,99,-86.26112499999988,-22.762375000000475,118.31937499999992,-413.92662500000085,624,297,327,0.47596153846153844,297,327,0,-404.6307500000013,-0.6484467147435918,0.8465629547469053,457.18212500000084,8,2023-02-10,2023-02-22,7.803836939102564,7.803836939102564
ema_trend_600,all,A25_R125,1.25,177,178,170,99,-152.69015624999986,21.68424999999948,220.06409374999976,-477.9346562500011,624,264,360,0.4230769230769231,264,360,0,-388.8764687500018,-0.6231994691506438,0.8648873198813838,507.67153125000095,10,2023-06-29,2023-07-14,9.754796173878207,7.803836939102564
ema_trend_600,all,R60_R1,1.0,177,178,170,99,-52.09749999999963,-7.481000000002041,-29.114000000005035,-401.30599999999686,624,298,326,0.4775641025641026,298,326,0,-489.99850000000356,-0.7852540064102621,0.8520038811345889,523.6930000000011,7,2024-02-22,2024-03-05,9.826564903846148,9.826564903846148
ema_trend_600,all,R60_R125,1.25,177,178,170,99,-69.53824999999898,57.5574999999975,-50.814750000009326,-332.38437499999884,624,269,355,0.4310897435897436,269,355,0,-395.17987500000964,-0.6333010817307847,0.8896816755057931,496.718875000005,9,2023-06-05,2023-06-16,12.283206129807684,9.826564903846148
prevclose_cont_600,all,10_10,1.0,259,262,261,166,-210.0,180.0,350.0,-180.0,948,481,467,0.5073839662447257,481,467,0,140.0,0.14767932489451477,1.0299785867237687,360.0,10,2023-12-25,2024-01-05,10.0,10.0
prevclose_cont_600,all,15_15,1.0,259,262,261,166,-45.0,150.0,405.0,-150.0,948,486,462,0.5126582278481012,486,462,0,360.0,0.379746835443038,1.051948051948052,345.0,12,2023-12-27,2024-01-11,15.0,15.0
prevclose_cont_600,all,20_20,1.0,259,262,261,166,-60.0,800.0,460.0,-40.0,948,503,445,0.5305907172995781,503,445,0,1160.0,1.2236286919831223,1.1303370786516853,480.0,12,2026-02-25,2026-03-12,20.0,20.0
prevclose_cont_600,all,20_15,1.3333333333333333,259,262,261,166,105.0,515.0,390.0,-215.0,948,429,519,0.4525316455696203,429,519,0,795.0,0.8386075949367089,1.1021194605009634,470.0,13,2026-02-25,2026-03-13,20.0,15.0
prevclose_cont_600,all,25_20,1.25,259,262,261,166,-185.0,880.0,450.0,10.0,948,447,501,0.47151898734177217,447,501,0,1155.0,1.2183544303797469,1.1152694610778444,660.0,12,2023-04-14,2023-05-01,25.0,20.0
prevclose_cont_600,all,30_25,1.2,259,262,261,166,-370.0,930.0,460.0,-25.0,948,449,499,0.47362869198312235,449,499,0,995.0,1.0495780590717299,1.0797595190380762,990.0,11,2023-01-27,2023-02-10,30.0,25.0
prevclose_cont_600,all,40_30,1.3333333333333333,259,262,261,166,-420.0,750.0,290.0,270.0,948,419,529,0.4419831223628692,419,529,0,890.0,0.9388185654008439,1.0560806553245117,1040.0,11,2023-01-27,2023-02-10,40.0,30.0
prevclose_cont_600,all,A25_R1,1.0,257,259,258,164,-129.04749999999996,-77.42262500000038,214.43775000000073,-245.3849999999992,938,454,484,0.4840085287846482,454,484,0,-237.4173749999988,-0.2531102078891245,0.9407339626456582,332.32487499999854,8,2023-02-14,2023-02-23,8.288382329424303,8.288382329424303
