family,param,tp,sl,robust_score,positive_train_years,train_n,train_net,train_expectancy,train_pf,train_positive_rate,train_max_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_expectancy,oos_pf,oos_positive_rate,oos_max_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_expectancy,all_pf,all_positive_rate,all_max_dd,all_tp,all_sl,all_eod
prevday_rejection,ext=0.0,20.0,20.0,-1.3391725171712126,0,456,-535.9659999999972,-1.175364035087713,0.8193611314642323,0.46710526315789475,606.9259999999992,81,107,268,85,-90.51999999999998,-1.064941176470588,0.8971363636363636,0.4823529411764706,320.0,39,44,2,541,-626.4859999999971,-1.1580147874306785,0.8371519223261001,0.46950092421441775,831.0559999999975,120,151,270
prevday_rejection,ext=0.0,20.0,25.0,-1.1350238876383378,0,456,-423.4399999999964,-0.9285964912280623,0.8567456802787148,0.4824561403508772,493.4629999999968,85,65,306,85,-200.98999999999933,-2.36458823529411,0.8049530796626787,0.5058823529411764,358.59999999999945,41,41,3,541,-624.4299999999957,-1.154214417744909,0.8433572517291593,0.48613678373382624,792.0629999999962,126,106,309
prevday_rejection,ext=0.0,20.0,30.0,-1.3890735307408604,0,456,-514.5789999999954,-1.1284627192982355,0.8333077961426003,0.4868421052631579,596.9619999999973,87,50,319,85,-182.44999999999936,-2.1464705882352866,0.8329105345580765,0.5529411764705883,335.0599999999995,45,36,4,541,-697.0289999999948,-1.2884085027726335,0.8332039940357963,0.49722735674676527,834.6619999999953,132,86,323
prevday_rejection,ext=0.0,20.0,35.0,-1.4805559361779865,0,456,-560.4409999999943,-1.229037280701742,0.8221734500649839,0.48903508771929827,620.4639999999947,87,33,336,85,-142.32999999999947,-1.674470588235288,0.8719835223644332,0.5882352941176471,296.9899999999998,48,30,7,541,-702.7709999999938,-1.2990221811460145,0.8351628479068255,0.5046210720887245,857.4539999999945,135,63,343
prevday_rejection,ext=0.0,25.0,15.0,-0.8297681266960628,1,456,-287.50299999999925,-0.6304890350877177,0.8948744613057955,0.4451754385964912,404.25599999999986,56,147,253,85,-35.51999999999998,-0.41788235294117626,0.9553207547169812,0.3764705882352941,228.1300000000001,30,53,2,541,-323.02299999999923,-0.5970850277264311,0.9084882830847963,0.4343807763401109,489.64599999999973,86,200,255
prevday_rejection,ext=0.0,25.0,20.0,-1.146701368514199,0,456,-446.28699999999685,-0.9786995614035019,0.8508640313532178,0.46271929824561403,529.1369999999997,59,108,289,85,-36.98000000000002,-0.435058823529412,0.9606595744680851,0.4470588235294118,338.1300000000001,35,47,3,541,-483.26699999999687,-0.8932846580406596,0.8771089723441983,0.4602587800369686,705.5429999999974,94,155,292
prevday_rejection,ext=0.0,25.0,25.0,-0.835875570886266,0,456,-268.7609999999961,-0.5893881578947283,0.9092418569217189,0.48026315789473684,360.94799999999896,64,65,327,85,-192.60999999999922,-2.2659999999999907,0.8281234662645125,0.4588235294117647,423.59999999999945,36,44,5,541,-461.3709999999953,-0.8528114602587714,0.8869720067870064,0.47689463955637706,658.419999999996,100,109,332
prevday_rejection,ext=0.0,25.0,30.0,-1.1671980147651517,0,456,-404.8999999999951,-0.8879385964912173,0.8703252309821827,0.4824561403508772,484.4989999999955,65,51,340,85,-169.06999999999925,-1.9890588235294029,0.8587658404965379,0.5058823529411764,386.5199999999995,40,39,6,541,-573.9699999999943,-1.0609426987060893,0.8671217175438838,0.48613678373382624,741.018999999995,105,90,346
prevday_rejection,ext=0.0,25.0,35.0,-1.2653372874480904,0,456,-455.76199999999403,-0.9994780701754256,0.8572192972398248,0.48464912280701755,530.3609999999944,65,34,357,85,-128.94999999999936,-1.5170588235294042,0.8953302434312529,0.5411764705882353,376.9899999999998,43,33,9,541,-584.7119999999934,-1.0807985212569193,0.8678321849036589,0.49353049907578556,768.8109999999942,108,67,366
prevday_rejection,ext=0.0,30.0,15.0,-1.1113659042654576,1,456,-373.371000000001,-0.8187960526315812,0.8661289177543188,0.43640350877192985,499.56300000000124,36,150,270,85,-14.230000000000018,-0.16741176470588257,0.9827515151515152,0.35294117647058826,225.0,26,55,4,541,-387.601000000001,-0.7164528650646969,0.8927511473328691,0.4232902033271719,566.823000000001,62,205,274
