family,variant,exit,exit_type,initial_rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,eod_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl,avg_rr
stretch_fade_840,z1_rsi55,ASIAx025_R1,asia,1.0,132,141,131,79,-76.07237500000002,-197.63774999999987,-117.26712499999996,288.8527499999989,483,219,264,0.453416149068323,216,259,8,-102.12450000000098,-0.21143788819875978,0.9486227722721838,472.01199999999983,11,2024-04-22,2024-05-22,8.08738561076604,8.08738561076604,1.0
stretch_fade_840,z1_rsi55,ASIAx025_R125,asia,1.25,132,141,131,79,-63.533406250000056,-193.69631249999986,-171.78803124999965,277.81140624999955,483,194,289,0.40165631469979296,189,283,11,-151.20634374999995,-0.31305661231884047,0.9314188790983593,518.3725937499993,11,2024-04-22,2024-05-22,10.10923201345755,8.08738561076604,1.25
stretch_fade_840,z1_rsi55,ASIAx033_R1,asia,1.0,132,141,131,79,-75.259225,-244.42926500000047,-214.38448999999954,188.96580999999938,483,213,270,0.4409937888198758,208,262,13,-345.1071700000006,-0.7145075983436866,0.8595208135506179,622.3890699999998,11,2024-04-22,2024-05-22,9.649305527950302,9.649305527950302,1.0
stretch_fade_840,z1_rsi55,ASIAx033_R125,asia,1.25,132,141,131,79,-61.46759250000003,-236.1666325000011,-157.4483049999997,179.7777324999999,483,193,290,0.3995859213250518,182,282,19,-275.3047975000009,-0.5699892287784698,0.8953769784990152,601.5491262500004,11,2024-04-22,2024-05-22,12.061631909937878,9.649305527950302,1.25
stretch_fade_840,z1_rsi55,PREVx025_R1,prev,1.0,132,138,131,78,-9.62449999999933,-111.03887499999928,-22.33287499999949,383.2206249999988,479,232,247,0.48434237995824636,208,225,46,240.2243750000007,0.5015122651357008,1.0898754134031914,387.4154999999985,6,2023-05-16,2023-05-30,12.60574399791232,12.60574399791232,1.0
stretch_fade_840,z1_rsi55,PREVx025_R125,prev,1.25,132,138,131,78,-1.0475937499991943,-181.16153124999934,69.387156250001,350.14693749999816,479,211,268,0.4405010438413361,173,242,64,237.32496875000055,0.4954592249478091,1.081808920603411,387.86037499999867,9,2024-07-29,2024-08-15,15.757179997390399,12.60574399791232,1.25
norm_impulse_cont_840,s=0.4,F10_10,fixed,1.0,134,139,130,78,-59.583000000000084,34.72600000000034,-180.57699999999932,-140.0,481,225,256,0.4677754677754678,194,224,63,-345.43399999999906,-0.7181580041580022,0.8537165013481407,383.28799999999956,12,2025-06-13,2025-07-09,10.0,10.0,1.0
norm_impulse_cont_840,s=0.4,F15_15,fixed,1.0,134,139,130,78,-53.65300000000025,137.81399999999917,-44.177999999999884,-300.0,481,233,248,0.48440748440748443,160,174,147,-260.01700000000096,-0.5405758835758856,0.913089444834959,480.8570000000009,8,2025-06-13,2025-07-01,15.0,15.0,1.0
norm_impulse_cont_840,s=0.4,F20_20,fixed,1.0,134,139,130,78,-180.3390000000013,249.61799999999926,-193.6259999999993,-189.07999999999993,481,235,246,0.4885654885654886,127,138,216,-313.42700000000127,-0.6516153846153873,0.9101111382609062,481.1900000000005,8,2025-06-13,2025-07-01,20.0,20.0,1.0
norm_impulse_cont_840,s=0.4,F20_15,fixed,1.3333333333333333,134,139,130,78,-109.27400000000102,226.57599999999957,-6.769999999999527,-260.0,481,221,260,0.4594594594594595,117,180,184,-149.46800000000098,-0.3107442827442848,0.9518143446040981,422.16400000000067,8,2025-06-13,2025-07-01,20.0,15.0,1.3333333333333333
norm_impulse_cont_840,s=0.4,F25_20,fixed,1.25,134,139,130,78,-142.29700000000162,214.82600000000002,-264.7399999999998,-354.25,481,221,260,0.4594594594594595,86,149,246,-546.4610000000014,-1.136093555093558,0.8536703644872122,712.4940000000006,8,2025-06-13,2025-07-01,25.0,20.0,1.25
norm_impulse_cont_840,s=0.4,F30_25,fixed,1.2,134,139,130,78,-152.71000000000117,219.06499999999915,-328.6170000000002,-480.675999999999,481,220,261,0.4573804573804574,70,121,290,-742.9380000000012,-1.5445696465696492,0.820174737936663,885.9300000000003,8,2025-06-13,2025-07-01,30.0,25.0,1.1999999999999995
norm_impulse_cont_840,s=0.4,F40_30,fixed,1.3333333333333333,134,139,130,78,-154.2260000000008,224.13499999999976,-397.39800000000105,-579.7589999999982,481,219,262,0.4553014553014553,41,101,339,-907.2480000000003,-1.8861704781704787,0.8006496561322586,1024.2740000000003,8,2025-06-13,2025-07-01,40.0,30.0,1.3333333333333333
norm_impulse_cont_840,s=0.4,R60x075_R1,r60,1.0,134,139,130,78,-31.781249999999318,43.501125000000854,-246.35775000000285,-207.42887500000234,481,217,264,0.45114345114345117,213,262,6,-442.06675000000365,-0.9190576923076998,0.7960846084193258,475.89275000000566,10,2023-01-27,2023-02-20,8.168432952182968,8.168432952182968,1.0
norm_impulse_cont_840,s=0.4,R60x075_R125,r60,1.25,134,139,130,78,-39.4466874999992,9.97290625000035,-176.17659375000216,-155.51909375000105,481,194,287,0.40332640332640335,187,283,11,-361.169468750002,-0.7508720764033305,0.8433501743239874,393.26196875000187,10,2023-01-27,2023-02-20,10.21054119022871,8.168432952182968,1.25
norm_impulse_cont_840,s=0.4,R60x1_R1,r60,1.0,134,139,130,78,-34.15799999999922,73.91450000000077,-294.744999999999,-200.70399999999972,481,224,257,0.4656964656964657,218,250,13,-455.69249999999715,-0.947385654885649,0.8216807249813306,597.290500000001,10,2023-01-27,2023-02-20,9.928097713097722,9.928097713097722,1.0
norm_impulse_cont_840,s=0.4,R60x1_R125,r60,1.25,134,139,130,78,-69.00449999999955,24.794124999998473,-370.2601249999984,-259.45737499999905,481,194,287,0.40332640332640335,183,277,21,-673.9278749999985,-1.40109745322245,0.7627430559711719,772.5466250000013,11,2023-01-27,2023-02-22,12.41012214137215,9.928097713097722,1.25
norm_impulse_cont_840,s=0.4,ASIAx025_R1,asia,1.0,134,139,130,78,-9.62250000000023,45.9915000000002,-254.00837500000068,-303.48662499999807,481,218,263,0.45322245322245325,216,262,3,-521.1259999999988,-1.083422037422035,0.7625461564617911,582.7339999999999,10,2023-01-27,2023-02-20,8.059807692307688,8.059807692307688,1.0
norm_impulse_cont_840,s=0.4,ASIAx025_R125,asia,1.25,134,139,130,78,-36.94525000000024,39.13440625000018,-236.07128125000062,-289.87246874999744,481,192,289,0.3991683991683992,186,287,8,-523.7545937499981,-1.0888868892931354,0.7788322609431287,572.3777187499986,19,2025-06-04,2025-07-09,10.074759615384611,8.059807692307688,1.25
norm_impulse_cont_840,s=0.4,ASIAx033_R1,asia,1.0,134,139,130,78,-11.33500000000009,97.23460000000047,-250.0453300000018,-303.43968499999545,481,225,256,0.4677754677754678,221,252,8,-467.5854149999969,-0.9721110498960435,0.8135688957431181,600.744329999998,14,2025-06-11,2025-07-09,9.598568388773383,9.598568388773383,1.0
norm_impulse_cont_840,s=0.4,ASIAx033_R125,asia,1.25,134,139,130,78,-57.94064000000015,72.67380250000063,-192.04315125000247,-231.3401162499957,481,197,284,0.4095634095634096,189,275,17,-408.6501049999976,-0.8495844178794129,0.847240631396307,491.09015624999876,14,2025-06-11,2025-07-09,11.99821048596673,9.598568388773383,1.25
norm_impulse_cont_840,s=0.4,PREVx025_R1,prev,1.0,133,137,130,78,-63.60700000000014,-78.9376249999982,-233.26287499999842,-226.6228749999999,478,222,256,0.46443514644351463,204,234,40,-602.4303749999967,-1.2603145920502024,0.8097517597232833,726.4261249999961,10,2023-01-27,2023-02-20,12.832354079497906,12.832354079497906,1.0
norm_impulse_cont_840,s=0.4,PREVx025_R125,prev,1.25,133,137,130,78,-95.30678125000018,-57.72912499999799,-130.89809374999885,-159.09456249999934,478,201,277,0.4205020920502092,175,252,51,-443.0285624999963,-0.926837996861917,0.8672424031890943,602.6679687499961,10,2023-01-27,2023-02-20,16.04044259937238,12.832354079497906,1.25
norm_impulse_fade_840,s=0.4,F10_10,fixed,1.0,134,139,130,78,-44.76299999999969,-174.57099999999923,26.503000000000156,-60.0,481,224,257,0.4656964656964657,194,219,68,-252.83099999999877,-0.5256361746361721,0.8904114398509296,351.0709999999988,8,2024-05-27,2024-06-14,10.0,10.0,1.0
norm_impulse_fade_840,s=0.4,F15_15,fixed,1.0,134,139,130,78,-51.9279999999992,-356.21499999999924,-116.52999999999929,180.0,481,224,257,0.4656964656964657,158,175,148,-344.6729999999977,-0.7165758835758789,0.8866395922257685,650.0399999999979,9,2024-03-06,2024-03-25,15.0,15.0,1.0
norm_impulse_fade_840,s=0.4,F20_20,fixed,1.0,134,139,130,78,-7.204999999999245,-362.24300000000176,95.34700000000021,187.89000000000033,481,232,249,0.48232848232848236,131,132,218,-86.21100000000047,-0.1792328482328492,0.9744132568717755,532.8780000000004,9,2024-03-06,2024-03-25,20.0,20.0,1.0
norm_impulse_fade_840,s=0.4,F20_15,fixed,1.3333333333333333,134,139,130,78,-17.295999999998912,-344.29800000000114,-6.596999999999753,217.89000000000033,481,215,266,0.446985446985447,119,183,179,-150.30099999999948,-0.3124760914760904,0.9525294706960657,581.1549999999997,9,2024-03-06,2024-03-25,20.0,15.0,1.3333333333333333
norm_impulse_fade_840,s=0.4,F25_20,fixed,1.25,134,139,130,78,14.022000000001299,-376.45300000000134,158.4069999999997,288.0500000000011,481,225,256,0.4677754677754678,105,137,239,84.02600000000075,0.17469022869023024,1.0241510791904536,492.958000000001,9,2024-03-06,2024-03-25,25.0,20.0,1.25
