strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
prevclose_1000close_to_1001,8.0,5.0,480,-0.5155948243540873,1291,-517.732,-0.4010317583268784,0.3849728892331526,0.8570124209501832,267
prevclose_1000close_to_1001,30.0,12.0,240,-0.5157006703487358,1291,-524.1349999999984,-0.4059914794732753,0.45236250968241676,0.8106760591463263,1213
prevclose_1000close_to_1001,20.0,5.0,1440,-0.5162117680417133,1291,-514.9239999999966,-0.39885670023237535,0.28272656855151046,0.882685945160002,325
prevclose_1000close_to_1001,15.0,12.0,240,-0.5166935617917126,1291,-525.1969999999988,-0.4068140975987597,0.45236250968241676,0.8102924518215211,1188
prevclose_1000close_to_1001,5.0,15.0,240,-0.5174806573028589,1291,-527.2679999999989,-0.40841828040278766,0.48412083656080557,0.8011079483943201,923
prevclose_1000close_to_1001,10.0,10.0,240,-0.5180129761255555,1291,-526.8399999999988,-0.40808675445391074,0.4500387296669249,0.808109210641336,1095
prevclose_1000close_to_1001,4.0,25.0,240,-0.5184517779473402,1291,-529.7729999999985,-0.41035863671572315,0.5050348567002324,0.7902341870764533,856
prevclose_1000close_to_1001,12.0,20.0,480,-0.5201757127859513,1291,-517.0789999999963,-0.4005259488768368,0.4763749031758327,0.8961948476345083,938
prevclose_1000close_to_1001,5.0,30.0,240,-0.5205820207961923,1291,-530.566999999998,-0.41097366382648953,0.48412083656080557,0.8001122695977326,959
prevclose_1000close_to_1001,12.0,8.0,240,-0.5206279809103964,1291,-529.9579999999967,-0.41050193648334365,0.4469403563129357,0.8048150420712176,1058
prevclose_1000close_to_1001,5.0,25.0,240,-0.5210613466156137,1291,-531.0769999999982,-0.4113687064291233,0.48412083656080557,0.7999585661632461,955
prevclose_1000close_to_1001,6.0,5.0,1440,-0.5212611259507506,1291,-523.8819999999992,-0.40579550735863607,0.4229279628195198,0.853624176450537,95
prevclose_1000close_to_1001,8.0,15.0,480,-0.5225661871294196,1291,-520.883999999998,-0.4034732765298203,0.5089078233927188,0.8855077958859355,696
prevclose_1000close_to_1001,4.0,15.0,240,-0.5228347433825271,1291,-534.4579999999992,-0.4139876065065834,0.5050348567002324,0.788770981294191,825
prevclose_1000close_to_1001,5.0,20.0,240,-0.5231840889912784,1291,-533.3359999999984,-0.41311851278078887,0.48412083656080557,0.7992784598512516,948
prevclose_1000close_to_1001,15.0,25.0,480,-0.5248230460953932,1291,-521.4299999999976,-0.40389620449263947,0.4694035631293571,0.8982023618270281,1067
prevclose_1000close_to_1001,4.0,20.0,240,-0.5252416144078049,1291,-537.0319999999988,-0.41598140975987513,0.5050348567002324,0.7879693809706559,849
prevclose_1000close_to_1001,6.0,8.0,240,-0.527393614872538,1291,-538.0229999999974,-0.4167490317583249,0.4608830364058869,0.7964835525643876,868
prevclose_1000close_to_1001,4.0,5.0,1440,-0.5275502759390815,1291,-533.8469999999998,-0.413514329976762,0.5081332300542215,0.8273179744609661,49
prevclose_1000close_to_1001,4.0,5.0,480,-0.528575547820471,1291,-535.941,-0.41513632842757553,0.4965143299767622,0.8197732524824259,131
prevclose_1000close_to_1001,25.0,12.0,240,-0.5293983492166208,1291,-538.8059999999982,-0.4173555383423689,0.45236250968241676,0.8053767153965972,1211
prevclose_1000close_to_1001,6.0,8.0,1440,-0.5314037726046816,1291,-530.9349999999979,-0.4112587141750565,0.52285050348567,0.8764195453265279,192
prevclose_1000close_to_1001,12.0,30.0,480,-0.5325319603034318,1291,-529.6119999999974,-0.41023392718822416,0.4786986831913246,0.8943533799370129,999
