portfolio,components,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,oos_max_day_risk,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd_score
B_highWRmom_5_20 + C_30_20_ThuFri,2,190.65999999999894,0.5225634232397895,0.479108635097493,1,5744.903999999976,19.14967999999992,0.9031369867532368,0.623546511627907,688,4,0.199479643102423,0.1999325227735647,190.65999999999894,0.5225634232397895,0.7108633333333274,4.386202677400699,0.5530032913525162,0.33810790011608916,5.162458461776684
A_highWR_bodyclose_6_12 + B_star_20_25,2,252.6459999999995,0.527983595352017,0.548951048951049,2,5725.185999999997,19.083953333333323,0.43578066115905456,0.6205357142857143,448,4,0.19450974010701888,0.19821720574212967,5717.820999999996,0.527983595352017,0.44553000000000176,0.8802584519172938,1.0863438522132216,2.3654086031744956,8.270968703379554
A_smooth_15_20 + C_30_20_ThuFri,2,198.70899999999847,0.43900318175530323,0.45147679324894513,1,5293.002999999964,17.643343333333213,0.8619760595858882,0.5132924335378323,489,4,0.1966308612792236,0.19943323567337246,198.70899999999847,0.43900318175530323,0.8657766666666589,3.2435536228880597,0.040478146154278694,1.1416996742336387,4.920160821359702
B_highWR_5_20 + C_30_20_ThuFri,2,173.68699999999922,0.5361134777534157,0.475,0,4242.7829999999685,14.142609999999895,0.9153505351386801,0.6244665718349929,703,4,0.1986486922708278,0.19990535730740056,173.68699999999922,0.5361134777534157,0.28256666666666286,4.971692179743746,0.37487248273075746,0.3430425854591377,3.7753377394888297
A_smooth_15_20 + B_star_20_25,2,1471.9750000000067,0.3247579729700801,0.5340314136125655,4,4139.130999999995,13.797103333333316,0.6143917563365041,0.5823389021479713,419,4,0.1915468461332926,0.1942567034346047,33457.67199999997,0.6443163989394756,0.3754466666666667,0.7804907012025206,0.6117401737601162,2.4955009200840212,4.852709392812025
A_highWR_6_12 + B_highWRmom_5_20,2,118.33999999999946,0.6778680603759216,0.5319148936170213,1,3574.544999999996,11.915149999999986,0.4700413325930488,0.7711340206185567,485,4,0.19577959288505983,0.1997671602765225,118.33999999999946,0.6778680603759216,0.860783333333333,0.8596075129649645,1.0571709029398022,0.6738326750314336,4.943791278365521
A_highWR_6_12 + B_highWR_5_20,2,117.55700000000002,0.6688609834144582,0.5209790209790209,1,3557.8559999999948,11.859519999999982,0.4661529923046224,0.768,500,4,0.19721143037450467,0.19946189612911006,117.55700000000002,0.6688609834144582,0.9308799999999997,0.9238361092696867,0.8779963191252074,0.7000003822527703,4.944641586182058
A_highWR_bodyclose_6_12 + B_highWRmom_5_20,2,207.52399999999943,0.5978849347824086,0.5641891891891891,2,3105.9519999999966,10.353173333333322,0.4088331490152717,0.7767857142857143,448,4,0.19216138418943224,0.19901289603566372,1880.0119999999974,0.5978849347824086,0.7702200000000001,0.6345821423325857,1.0838756276848351,0.7169897266483594,4.649977949498355
A_smooth_15_20 + B_highWR_5_20,2,185.97699999999918,0.4055716965995161,0.489247311827957,0,2788.795999999992,9.295986666666641,0.5337058445430921,0.7465437788018433,434,4,0.19193910594764552,0.1994591806786752,185.97699999999918,0.4055716965995161,0.7001933333333341,0.8012245666179045,0.4844377395292834,1.0448776796529744,3.5738433755802554
A_highWR_bodyclose_6_12 + B_highWR_5_20,2,202.06699999999978,0.5704930958883031,0.5585284280936454,2,2677.6109999999953,8.925369999999985,0.40535643025264456,0.7732181425485961,463,4,0.19829630425262965,0.19938025969278889,1236.5049999999978,0.5704930958883031,0.8156499999999998,0.5673542074004649,0.825648624272314,0.717946941218818,4.0275681077406
A_smooth_15_20 + B_highWRmom_5_20,2,197.19599999999923,0.4127016273140994,0.5102040816326531,1,2351.992999999995,7.83997666666665,0.5681841969434099,0.7494033412887828,419,4,0.19971569044923976,0.19971569044923976,197.19599999999923,0.4127016273140994,0.4696533333333339,0.7982653505588548,0.6547850281516754,0.7926871561052566,2.8988072530917117
A_highWR_bodyclose_6_12 + B_star_20_25 + C_30_20,3,118.32799999999975,0.6483806456022322,0.42857142857142855,0,2310.6499999999833,7.702166666666611,0.9344690005569037,0.513255567338282,943,2,0.2629823725583693,0.2944336131778992,118.32799999999975,0.6483806456022322,-0.029446666666668397,-0.36225383458233473,0.7488825461790314,6.115165511932562,2.02507032859836
A_highWR_6_12 + B_star_20_25 + C_30_20,3,114.26099999999906,0.6610501834750823,0.44719101123595506,0,2283.242999999985,7.61080999999995,0.9288540957717487,0.5208970438328236,981,2,0.24415537951657232,0.2890054085297896,114.26099999999906,0.6610501834750823,-0.02941666666666909,-0.3822924358203834,0.8811359883464809,5.748308669013646,2.009952411319286
B_star_20_25,1,826.9280000000042,0.2762426036159345,0.5237068965517241,4,2038.7339999999995,6.795779999999998,0.4126803971337179,0.56957928802589,309,4,0.0986452067307598,0.09950339278139848,6363.541000000001,0.46105284730679236,0.1705700000000001,0.7595017811835334,0.4788067701808998,1.2312117093158408,3.036485667069164
C_30_20_ThuFri,1,379.30799999999863,0.4152940009812213,0.4827586206896552,3,1736.4249999999902,5.788083333333301,0.8793100419120665,0.48284960422163586,379,3,0.09994816577069657,0.09998579368514778,1978.0279999999848,0.8867097249259945,0.2813266666666596,2.686449981529576,-0.01869287484546034,0.24871006597990175,1.5910375222399247
