variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years
0959,ThuFri & HIGH_VOL,20.0,20.0,480,2.7986950195083113,342,1.1264239766081907,1.3070309878641968,0.5029239766081871,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,30.0,1440,2.7814728162689204,139,1.1527482014388537,1.2394073684493636,0.48201438848920863,4
0959,ThuFri & HIGH_VOL,25.0,30.0,480,2.7778395818167247,342,1.1216754385964933,1.2982045368152748,0.5029239766081871,4
0959,gap_ratio_range>=0.35,30.0,12.0,480,2.7700827495246267,223,1.1037757847533594,1.3284463973803484,0.4977578475336323,4
0959,BIG_GAP,30.0,12.0,480,2.7700827495246267,223,1.1037757847533594,1.3284463973803484,0.4977578475336323,4
0959,ThuFri & HIGH_VOL,20.0,15.0,480,2.753639696974763,342,1.1091198830409408,1.3024018737932053,0.49707602339181284,4
0959,gap_ratio_range_Q4,30.0,25.0,480,2.7520185351454867,257,1.1093190661478627,1.300527064776262,0.5058365758754864,4
0959,HIGH_VOL & BIG_GAP,10.0,25.0,480,2.750716133862778,192,1.0787552083333374,1.3644994843673577,0.5572916666666666,4
0959,HIGH_VOL & BIG_GAP,25.0,20.0,1440,2.748487986925873,192,1.1333489583333407,1.2486348694170777,0.5,4
0959,gap_ratio_range>=0.35,25.0,8.0,480,2.746920693198769,223,1.082914798206275,1.3519123548938963,0.47533632286995514,4
0959,BIG_GAP,25.0,8.0,480,2.746920693198769,223,1.082914798206275,1.3519123548938963,0.47533632286995514,4
0959,BIG_GAP & BIG_PREV_MOVE,15.0,30.0,480,2.7422191379331635,139,1.1108633093525186,1.3335176489392495,0.5035971223021583,3
0959,gap_ratio_range>=0.35,20.0,25.0,1440,2.7248137803861114,223,1.1229596412556118,1.24835665292748,0.515695067264574,4
0959,BIG_GAP,20.0,25.0,1440,2.7248137803861114,223,1.1229596412556118,1.24835665292748,0.515695067264574,4
0959,BIG_GAP & BIG_PREV_MOVE,30.0,20.0,480,2.7218396735711097,139,1.095561151079131,1.301870298236744,0.48201438848920863,4
0959,gap_ratio_range>=0.35,20.0,8.0,1440,2.707114367883531,223,1.092103139013457,1.295675452547745,0.4484304932735426,4
0959,BIG_GAP,20.0,8.0,1440,2.707114367883531,223,1.092103139013457,1.295675452547745,0.4484304932735426,4
0959,ThuFri & HIGH_VOL,20.0,25.0,480,2.7035138817780804,342,1.0910672514619897,1.294555059207821,0.5029239766081871,4
0959,HIGH_VOL & BIG_GAP,20.0,20.0,1440,2.6979765288649777,192,1.113010416666673,1.244342453097703,0.5052083333333334,4
0959,HIGH_VOL & BIG_GAP,20.0,8.0,480,2.6888625852806736,192,1.0653385416666648,1.336217538311326,0.4635416666666667,4
0959,HIGH_VOL & BIG_GAP,30.0,12.0,480,2.686441261703101,192,1.073640624999997,1.3158971482688702,0.4895833333333333,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,15.0,480,2.681506579967988,139,1.077237410071935,1.3035837381494944,0.4748201438848921,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,25.0,1440,2.657177414215382,139,1.123345323741012,1.231884854308089,0.48201438848920863,3
0959,gap_ratio_range>=0.35,30.0,10.0,480,2.6514668035763864,223,1.0564843049327335,1.3204005891336654,0.48878923766816146,4
0959,BIG_GAP,30.0,10.0,480,2.6514668035763864,223,1.0564843049327335,1.3204005891336654,0.48878923766816146,4
0959,HIGH_VOL & BIG_GAP,25.0,10.0,480,2.6403877772387547,192,1.052854166666665,1.3178782537044225,0.484375,4
0959,BIG_GAP,30.0,8.0,480,2.640136574377093,223,1.0447578475336292,1.3356001394366632,0.47085201793721976,4
0959,gap_ratio_range>=0.35,30.0,8.0,480,2.640136574377093,223,1.0447578475336292,1.3356001394366632,0.47085201793721976,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,12.0,480,2.6366484900974063,139,1.0563237410071842,1.3067251028307942,0.460431654676259,4
0959,gap_ratio_range_Q4,12.0,30.0,480,2.6274682108412537,257,1.0422957198443612,1.3289630424691092,0.5408560311284046,4
0959,ThuFri & HIGH_VOL,30.0,30.0,480,2.6256023036669025,342,1.0653654970760253,1.2767794811490965,0.5,4
0959,BIG_GAP,25.0,30.0,1440,2.6247144658009334,223,1.0815964125560606,1.2417922597124527,0.5067264573991032,4
0959,gap_ratio_range>=0.35,25.0,30.0,1440,2.6247144658009334,223,1.0815964125560606,1.2417922597124527,0.5067264573991032,4
0959,gap_ratio_range>=0.35,10.0,30.0,1440,2.616408555559972,223,1.054654708520187,1.2911845327562197,0.57847533632287,4
0959,BIG_GAP,10.0,30.0,1440,2.616408555559972,223,1.054654708520187,1.2911845327562197,0.57847533632287,4
0959,BIG_GAP & BIG_PREV_MOVE,15.0,25.0,480,2.6158080653516014,139,1.0649640287769782,1.3153909415920604,0.5035971223021583,3
0959,ThuFri & HIGH_VOL,25.0,8.0,480,2.6145523041978214,342,1.0489678362573114,1.3018363583128327,0.45321637426900585,4
0959,BIG_GAP & BIG_PREV_MOVE,10.0,30.0,480,2.60700331377044,139,1.0257338129496418,1.3466159381533533,0.539568345323741,4
0959,BIG_GAP & BIG_PREV_MOVE,12.0,25.0,480,2.600662681955066,139,1.0308633093525177,1.328788560204859,0.5251798561151079,4
0959,HIGH_VOL & BIG_GAP,30.0,25.0,1440,2.5812782788822823,192,1.0679947916666765,1.2296721832942086,0.5,4
0959,gap_ratio_range>=0.35,20.0,20.0,1440,2.5809041822364014,223,1.0849461883408131,1.240575807684928,0.5112107623318386,3
0959,BIG_GAP,20.0,20.0,1440,2.5809041822364014,223,1.0849461883408131,1.240575807684928,0.5112107623318386,3
0959,ThuFri & HIGH_VOL,30.0,8.0,480,2.557394100442687,342,1.0277456140350891,1.2937525281058517,0.4502923976608187,4
0959,ThuFri & HIGH_VOL,20.0,30.0,480,2.5516231173696724,342,1.033757309941522,1.274830944124303,0.5029239766081871,4
0959,BIG_GAP,12.0,20.0,480,2.531952923867244,223,1.0250538116591958,1.3237345169340071,0.5515695067264574,3
0959,gap_ratio_range>=0.35,12.0,20.0,480,2.531952923867244,223,1.0250538116591958,1.3237345169340071,0.5515695067264574,3
0959,gap_ratio_range_Q4,15.0,30.0,480,2.5271678852683146,257,1.0128326848249054,1.297682450552656,0.5252918287937743,4
0959,BIG_GAP,15.0,20.0,480,2.5228089855015714,223,1.010524663677132,1.2986168165844203,0.5336322869955157,4
0959,gap_ratio_range>=0.35,15.0,20.0,480,2.5228089855015714,223,1.010524663677132,1.2986168165844203,0.5336322869955157,4
0959,BIG_GAP,12.0,30.0,1440,2.503915269510718,223,1.0193228699551629,1.2602409279917954,0.5515695067264574,4
0959,gap_ratio_range>=0.35,12.0,30.0,1440,2.503915269510718,223,1.0193228699551629,1.2602409279917954,0.5515695067264574,4
0959,BIG_GAP & BIG_PREV_MOVE,25.0,15.0,480,2.487369716111248,139,1.0021654676258906,1.2824271939143737,0.4748201438848921,4
0959,gap_ratio_range>=0.35,25.0,25.0,1440,2.4770176739813268,223,1.0230358744394688,1.2257456760535663,0.5067264573991032,4
0959,BIG_GAP,25.0,25.0,1440,2.4770176739813268,223,1.0230358744394688,1.2257456760535663,0.5067264573991032,4
0959,ThuFri & HIGH_VOL,20.0,8.0,480,2.462763805411931,342,0.9902894736842115,1.2849518908786186,0.45321637426900585,4
0959,HIGH_VOL & BIG_GAP,20.0,8.0,1440,2.4604104901627335,192,0.9777604166666704,1.2606872322550644,0.4322916666666667,5
