label,start_hour,mode,tp,sl,group_type,group,n,tp_count,sl_count,eod_count,net,expectancy,positive_rate
robust_selected,10,raw,15.0,22.5,year_setup,2023|fresh,112,28,4,80,154.3149999999996,1.3778124999999963,0.5446428571428571
robust_selected,10,raw,15.0,22.5,year_setup,2023|prebroken,142,30,14,98,-257.9494999999986,-1.8165457746478773,0.3873239436619718
robust_selected,10,raw,15.0,22.5,year_setup,2024|fresh,127,52,16,59,240.4489999999971,1.8932992125984025,0.5748031496062992
robust_selected,10,raw,15.0,22.5,year_setup,2024|prebroken,128,48,17,63,178.8465000000008,1.3972382812500062,0.5703125
robust_selected,10,raw,15.0,22.5,year_setup,2025|fresh,131,76,34,21,286.1874999999977,2.184637404580135,0.6259541984732825
robust_selected,10,raw,15.0,22.5,year_setup,2025|prebroken,116,68,28,20,355.3010000000004,3.0629396551724173,0.6551724137931034
robust_selected,10,raw,15.0,22.5,year_setup,2026|fresh,99,60,33,6,137.94850000000133,1.3934191919192054,0.6161616161616161
robust_selected,10,raw,15.0,22.5,year_setup,2026|prebroken,54,34,20,0,60.0,1.1111111111111112,0.6296296296296297
baseline_5_15,10,exec,20.0,25.0,year,2023,254,33,14,207,-204.17950000000133,-0.8038562992126036,0.4409448818897638
baseline_5_15,10,exec,20.0,25.0,year,2024,255,73,25,157,492.343499999997,1.9307588235294,0.5490196078431373
baseline_5_15,10,exec,20.0,25.0,year,2025,247,101,67,79,195.62299999999823,0.7919959514169969,0.5425101214574899
baseline_5_15,10,exec,20.0,25.0,year,2026,153,87,54,12,335.89350000000377,2.195382352941201,0.5882352941176471
baseline_5_15,10,exec,20.0,25.0,direction,LONG,492,159,77,256,873.7360000000012,1.7758861788617912,0.540650406504065
baseline_5_15,10,exec,20.0,25.0,direction,SHORT,417,135,83,199,-54.055500000003576,-0.12962949640288626,0.5035971223021583
baseline_5_15,10,exec,20.0,25.0,setup,fresh,469,158,86,225,484.5154999999979,1.0330820895522344,0.5458422174840085
baseline_5_15,10,exec,20.0,25.0,setup,prebroken,440,136,74,230,335.16499999999974,0.7617386363636358,0.5
baseline_5_15,10,exec,20.0,25.0,weekday,0,174,46,21,107,142.0309999999979,0.8162701149425167,0.5
baseline_5_15,10,exec,20.0,25.0,weekday,1,187,57,40,90,-90.22500000000059,-0.48248663101604594,0.5133689839572193
baseline_5_15,10,exec,20.0,25.0,weekday,2,184,50,43,91,-304.65500000000065,-1.6557336956521775,0.44565217391304346
baseline_5_15,10,exec,20.0,25.0,weekday,3,184,68,32,84,491.10700000000065,2.669059782608699,0.5706521739130435
baseline_5_15,10,exec,20.0,25.0,weekday,4,180,73,24,83,581.4225000000004,3.230125000000002,0.5888888888888889
baseline_5_15,10,exec,20.0,25.0,year_direction,2023|LONG,134,17,5,112,-164.54899999999952,-1.227977611940295,0.3880597014925373
baseline_5_15,10,exec,20.0,25.0,year_direction,2023|SHORT,120,16,9,95,-39.6305000000018,-0.33025416666668167,0.5
baseline_5_15,10,exec,20.0,25.0,year_direction,2024|LONG,139,37,11,91,443.3239999999969,3.1893812949640066,0.5971223021582733
baseline_5_15,10,exec,20.0,25.0,year_direction,2024|SHORT,116,36,14,66,49.01950000000011,0.42258189655172507,0.49137931034482757
baseline_5_15,10,exec,20.0,25.0,year_direction,2025|LONG,138,60,29,49,492.1810000000005,3.56652898550725,0.6086956521739131
baseline_5_15,10,exec,20.0,25.0,year_direction,2025|SHORT,109,41,38,30,-296.55800000000227,-2.720715596330296,0.45871559633027525
baseline_5_15,10,exec,20.0,25.0,year_direction,2026|LONG,81,45,32,4,102.78000000000338,1.2688888888889307,0.5802469135802469
baseline_5_15,10,exec,20.0,25.0,year_direction,2026|SHORT,72,42,22,8,233.11350000000039,3.237687500000005,0.5972222222222222
baseline_5_15,10,exec,20.0,25.0,year_setup,2023|fresh,112,14,3,95,64.97949999999992,0.5801741071428564,0.5267857142857143
baseline_5_15,10,exec,20.0,25.0,year_setup,2023|prebroken,142,19,11,112,-269.15900000000124,-1.8954859154929664,0.3732394366197183
baseline_5_15,10,exec,20.0,25.0,year_setup,2024|fresh,127,37,12,78,257.20049999999696,2.025200787401551,0.5511811023622047
baseline_5_15,10,exec,20.0,25.0,year_setup,2024|prebroken,128,36,13,79,235.14300000000003,1.8370546875000002,0.546875
baseline_5_15,10,exec,20.0,25.0,year_setup,2025|fresh,131,52,39,40,-83.55800000000272,-0.6378473282442956,0.5267175572519084
baseline_5_15,10,exec,20.0,25.0,year_setup,2025|prebroken,116,49,28,39,279.18100000000095,2.4067327586206977,0.5603448275862069
baseline_5_15,10,exec,20.0,25.0,year_setup,2026|fresh,99,55,32,12,245.89350000000377,2.483772727272765,0.5858585858585859
baseline_5_15,10,exec,20.0,25.0,year_setup,2026|prebroken,54,32,22,0,90.0,1.6666666666666667,0.5925925925925926
robust_selected,10,exec,15.0,22.5,year,2023,254,57,20,177,-222.0035000000007,-0.8740295275590579,0.44881889763779526
robust_selected,10,exec,15.0,22.5,year,2024,255,99,33,123,346.40199999999754,1.3584392156862648,0.5607843137254902
robust_selected,10,exec,15.0,22.5,year,2025,247,136,69,42,335.6329999999989,1.3588380566801574,0.6032388663967612
robust_selected,10,exec,15.0,22.5,year,2026,153,90,57,6,26.85200000000259,0.17550326797387314,0.5882352941176471
robust_selected,10,exec,15.0,22.5,direction,LONG,492,206,91,195,418.6240000000005,0.8508617886178872,0.5447154471544715
robust_selected,10,exec,15.0,22.5,direction,SHORT,417,176,88,153,68.25949999999784,0.1636918465227766,0.5467625899280576
robust_selected,10,exec,15.0,22.5,setup,fresh,469,209,96,164,413.5594999999996,0.8817899786780375,0.5714285714285714
robust_selected,10,exec,15.0,22.5,setup,prebroken,440,173,83,184,73.3239999999987,0.1666454545454516,0.5181818181818182
robust_selected,10,exec,15.0,22.5,weekday,0,174,64,24,86,73.08049999999866,0.4200028735632107,0.5057471264367817
robust_selected,10,exec,15.0,22.5,weekday,1,187,72,43,72,-135.68149999999991,-0.725569518716577,0.5294117647058824
robust_selected,10,exec,15.0,22.5,weekday,2,184,73,46,65,-264.02750000000015,-1.434932065217392,0.47282608695652173
robust_selected,10,exec,15.0,22.5,weekday,3,184,84,34,66,390.32849999999917,2.1213505434782562,0.6032608695652174
robust_selected,10,exec,15.0,22.5,weekday,4,180,89,32,59,423.18350000000055,2.3510194444444474,0.6166666666666667
robust_selected,10,exec,15.0,22.5,year_direction,2023|LONG,134,31,10,93,-165.64449999999943,-1.2361529850746227,0.40298507462686567
robust_selected,10,exec,15.0,22.5,year_direction,2023|SHORT,120,26,10,84,-56.35900000000129,-0.46965833333334406,0.5
robust_selected,10,exec,15.0,22.5,year_direction,2024|LONG,139,52,14,73,306.2599999999977,2.203309352517969,0.5899280575539568
robust_selected,10,exec,15.0,22.5,year_direction,2024|SHORT,116,47,19,50,40.141999999999825,0.3460517241379295,0.5258620689655172
robust_selected,10,exec,15.0,22.5,year_direction,2025|LONG,138,78,33,27,372.68850000000066,2.700641304347831,0.6304347826086957
robust_selected,10,exec,15.0,22.5,year_direction,2025|SHORT,109,58,36,15,-37.05550000000176,-0.3399587155963464,0.5688073394495413
robust_selected,10,exec,15.0,22.5,year_direction,2026|LONG,81,45,34,2,-94.67999999999847,-1.16888888888887,0.5555555555555556
robust_selected,10,exec,15.0,22.5,year_direction,2026|SHORT,72,45,23,4,121.53200000000106,1.6879444444444591,0.625
robust_selected,10,exec,15.0,22.5,year_setup,2023|fresh,112,28,5,79,103.0485000000001,0.9200758928571438,0.5446428571428571
robust_selected,10,exec,15.0,22.5,year_setup,2023|prebroken,142,29,15,98,-325.0520000000008,-2.2890985915493016,0.3732394366197183
robust_selected,10,exec,15.0,22.5,year_setup,2024|fresh,127,52,16,59,206.06099999999833,1.622527559055105,0.5669291338582677
robust_selected,10,exec,15.0,22.5,year_setup,2024|prebroken,128,47,17,64,140.3409999999992,1.0964140624999938,0.5546875
robust_selected,10,exec,15.0,22.5,year_setup,2025|fresh,131,73,38,20,137.5979999999986,1.0503664122137297,0.6030534351145038
robust_selected,10,exec,15.0,22.5,year_setup,2025|prebroken,116,63,31,22,198.0350000000003,1.7071982758620716,0.603448275862069
robust_selected,10,exec,15.0,22.5,year_setup,2026|fresh,99,56,37,6,-33.14799999999741,-0.33482828282825666,0.5656565656565656
robust_selected,10,exec,15.0,22.5,year_setup,2026|prebroken,54,34,20,0,60.0,1.1111111111111112,0.6296296296296297
baseline_5_15,14,raw,20.0,25.0,year,2023,254,34,14,206,33.74699999999916,0.13286220472440616,0.5078740157480315
baseline_5_15,14,raw,20.0,25.0,year,2024,255,59,21,175,496.2579999999987,1.9461098039215634,0.5411764705882353
baseline_5_15,14,raw,20.0,25.0,year,2025,247,95,61,91,220.7474999999954,0.8937145748987668,0.562753036437247
baseline_5_15,14,raw,20.0,25.0,year,2026,153,94,47,12,699.6600000000003,4.57294117647059,0.6405228758169934
baseline_5_15,14,raw,20.0,25.0,direction,LONG,492,150,72,270,1043.907000000002,2.1217621951219554,0.5589430894308943
baseline_5_15,14,raw,20.0,25.0,direction,SHORT,417,132,71,214,406.50549999999157,0.9748333333333131,0.5491606714628298
baseline_5_15,14,raw,20.0,25.0,setup,fresh,164,61,26,77,492.93299999999635,3.0056890243902217,0.6036585365853658
baseline_5_15,14,raw,20.0,25.0,setup,prebroken,745,221,117,407,957.4794999999972,1.2852073825503318,0.5436241610738255
baseline_5_15,14,raw,20.0,25.0,weekday,0,174,54,12,108,704.985999999994,4.051643678160885,0.5862068965517241
baseline_5_15,14,raw,20.0,25.0,weekday,1,187,50,36,101,-73.35850000000278,-0.39229144385028225,0.5187165775401069
baseline_5_15,14,raw,20.0,25.0,weekday,2,184,47,37,100,-170.79300000000148,-0.9282228260869646,0.5
baseline_5_15,14,raw,20.0,25.0,weekday,3,184,62,31,91,344.2120000000016,1.8707173913043564,0.5543478260869565
baseline_5_15,14,raw,20.0,25.0,weekday,4,180,69,27,84,645.3660000000023,3.5853666666666792,0.6166666666666667
baseline_5_15,14,raw,20.0,25.0,year_direction,2023|LONG,134,17,7,110,-28.469999999999573,-0.212462686567161,0.44776119402985076
baseline_5_15,14,raw,20.0,25.0,year_direction,2023|SHORT,120,17,7,96,62.216999999998734,0.5184749999999895,0.575
baseline_5_15,14,raw,20.0,25.0,year_direction,2024|LONG,139,28,9,102,308.80650000000037,2.22162949640288,0.539568345323741
baseline_5_15,14,raw,20.0,25.0,year_direction,2024|SHORT,116,31,12,73,187.4514999999983,1.6159612068965372,0.5431034482758621
baseline_5_15,14,raw,20.0,25.0,year_direction,2025|LONG,138,54,30,54,386.12549999999965,2.798010869565215,0.6304347826086957
baseline_5_15,14,raw,20.0,25.0,year_direction,2025|SHORT,109,41,31,37,-165.37800000000425,-1.5172293577982041,0.47706422018348627
baseline_5_15,14,raw,20.0,25.0,year_direction,2026|LONG,81,51,26,4,377.4450000000015,4.659814814814833,0.654320987654321
baseline_5_15,14,raw,20.0,25.0,year_direction,2026|SHORT,72,43,21,8,322.2149999999988,4.475208333333317,0.625
baseline_5_15,14,raw,20.0,25.0,year_setup,2023|fresh,30,3,0,27,51.54499999999939,1.7181666666666464,0.6
baseline_5_15,14,raw,20.0,25.0,year_setup,2023|prebroken,224,31,14,179,-17.79800000000023,-0.07945535714285816,0.4955357142857143
baseline_5_15,14,raw,20.0,25.0,year_setup,2024|fresh,30,7,3,20,61.071999999998525,2.035733333333284,0.5666666666666667
baseline_5_15,14,raw,20.0,25.0,year_setup,2024|prebroken,225,52,18,155,435.18600000000015,1.9341600000000008,0.5377777777777778
baseline_5_15,14,raw,20.0,25.0,year_setup,2025|fresh,49,21,8,20,169.1659999999979,3.4523673469387326,0.6326530612244898
baseline_5_15,14,raw,20.0,25.0,year_setup,2025|prebroken,198,74,53,71,51.581499999997504,0.2605126262626137,0.5454545454545454
baseline_5_15,14,raw,20.0,25.0,year_setup,2026|fresh,55,30,15,10,211.15000000000055,3.839090909090919,0.6
baseline_5_15,14,raw,20.0,25.0,year_setup,2026|prebroken,98,64,32,2,488.50999999999976,4.984795918367345,0.6632653061224489
robust_selected,14,raw,30.0,27.5,year,2023,254,12,6,236,152.82899999999768,0.6016889763779436,0.5078740157480315
robust_selected,14,raw,30.0,27.5,year,2024,255,26,17,212,564.0395000000005,2.2119196078431393,0.5294117647058824
robust_selected,14,raw,30.0,27.5,year,2025,247,57,57,133,296.04849999999396,1.1985769230768986,0.5303643724696356
robust_selected,14,raw,30.0,27.5,year,2026,153,77,50,26,934.4155000000001,6.107290849673203,0.5686274509803921
robust_selected,14,raw,30.0,27.5,direction,LONG,492,90,63,339,1478.5610000000029,3.005205284552851,0.5365853658536586
robust_selected,14,raw,30.0,27.5,direction,SHORT,417,82,67,268,468.7714999999894,1.1241522781774325,0.5227817745803357
robust_selected,14,raw,30.0,27.5,setup,fresh,164,38,25,101,494.3944999999949,3.0146006097560663,0.5487804878048781
robust_selected,14,raw,30.0,27.5,setup,prebroken,745,134,105,506,1452.9379999999974,1.950252348993285,0.5261744966442953
robust_selected,14,raw,30.0,27.5,weekday,0,174,36,9,129,920.4084999999968,5.289704022988487,0.5689655172413793
robust_selected,14,raw,30.0,27.5,weekday,1,187,30,33,124,3.495999999997366,0.018695187165761316,0.5080213903743316
robust_selected,14,raw,30.0,27.5,weekday,2,184,31,35,118,-127.69600000000241,-0.6940000000000132,0.47282608695652173
robust_selected,14,raw,30.0,27.5,weekday,3,184,32,30,122,386.01450000000114,2.097904891304354,0.5271739130434783
robust_selected,14,raw,30.0,27.5,weekday,4,180,43,23,114,765.1094999999993,4.2506083333333295,0.5777777777777777
robust_selected,14,raw,30.0,27.5,year_direction,2023|LONG,134,6,2,126,41.634499999999434,0.3107052238805928,0.44776119402985076
robust_selected,14,raw,30.0,27.5,year_direction,2023|SHORT,120,6,4,110,111.19449999999824,0.9266208333333187,0.575
robust_selected,14,raw,30.0,27.5,year_direction,2024|LONG,139,11,8,120,355.29750000000263,2.556097122302177,0.5251798561151079
robust_selected,14,raw,30.0,27.5,year_direction,2024|SHORT,116,15,9,92,208.74199999999792,1.7994999999999821,0.5344827586206896
robust_selected,14,raw,30.0,27.5,year_direction,2025|LONG,138,31,27,80,528.0104999999999,3.82616304347826,0.6086956521739131
robust_selected,14,raw,30.0,27.5,year_direction,2025|SHORT,109,26,30,53,-231.9620000000059,-2.1280917431193203,0.43119266055045874
robust_selected,14,raw,30.0,27.5,year_direction,2026|LONG,81,42,26,13,553.618500000001,6.834796296296308,0.5802469135802469
robust_selected,14,raw,30.0,27.5,year_direction,2026|SHORT,72,35,24,13,380.7969999999991,5.28884722222221,0.5555555555555556
robust_selected,14,raw,30.0,27.5,year_setup,2023|fresh,30,0,0,30,68.84499999999912,2.2948333333333037,0.6
robust_selected,14,raw,30.0,27.5,year_setup,2023|prebroken,224,12,6,206,83.98399999999856,0.374928571428565,0.4955357142857143
robust_selected,14,raw,30.0,27.5,year_setup,2024|fresh,30,1,2,27,21.92099999999823,0.730699999999941,0.5666666666666667
robust_selected,14,raw,30.0,27.5,year_setup,2024|prebroken,225,25,15,185,542.1185000000023,2.4094155555555656,0.5244444444444445
robust_selected,14,raw,30.0,27.5,year_setup,2025|fresh,49,15,6,28,235.31299999999737,4.802306122448926,0.5714285714285714
robust_selected,14,raw,30.0,27.5,year_setup,2025|prebroken,198,42,51,105,60.73549999999659,0.3067449494949323,0.5202020202020202
robust_selected,14,raw,30.0,27.5,year_setup,2026|fresh,55,22,17,16,168.31550000000016,3.060281818181821,0.4909090909090909
robust_selected,14,raw,30.0,27.5,year_setup,2026|prebroken,98,55,33,10,766.0999999999999,7.8173469387755095,0.6122448979591837
baseline_5_15,14,exec,20.0,25.0,year,2023,254,33,14,207,-102.49450000000161,-0.40352165354331343,0.4881889763779528
baseline_5_15,14,exec,20.0,25.0,year,2024,255,58,23,174,366.38049999999953,1.4367862745098021,0.5294117647058824
baseline_5_15,14,exec,20.0,25.0,year,2025,247,92,65,90,-30.318000000002485,-0.12274493927126512,0.5222672064777328
baseline_5_15,14,exec,20.0,25.0,year,2026,153,92,49,12,591.6420000000044,3.866941176470617,0.6274509803921569
baseline_5_15,14,exec,20.0,25.0,direction,LONG,492,146,78,268,664.572500000002,1.3507571138211423,0.5284552845528455
baseline_5_15,14,exec,20.0,25.0,direction,SHORT,417,129,73,215,160.63749999999777,0.3852218225419611,0.5371702637889688
baseline_5_15,14,exec,20.0,25.0,setup,fresh,164,60,27,77,381.2410000000018,2.32464024390245,0.5975609756097561
baseline_5_15,14,exec,20.0,25.0,setup,prebroken,745,215,124,406,443.968999999998,0.5959315436241583,0.5181208053691275
baseline_5_15,14,exec,20.0,25.0,weekday,0,174,54,12,108,630.0344999999991,3.6208879310344773,0.5862068965517241
baseline_5_15,14,exec,20.0,25.0,weekday,1,187,47,41,99,-296.4380000000026,-1.585229946524078,0.4919786096256685
baseline_5_15,14,exec,20.0,25.0,weekday,2,184,47,38,99,-273.27049999999895,-1.4851657608695594,0.46195652173913043
baseline_5_15,14,exec,20.0,25.0,weekday,3,184,62,31,91,282.51950000000147,1.5354320652173994,0.5434782608695652
baseline_5_15,14,exec,20.0,25.0,weekday,4,180,65,29,86,482.3645000000008,2.679802777777782,0.5833333333333334
baseline_5_15,14,exec,20.0,25.0,year_direction,2023|LONG,134,17,7,110,-99.71500000000015,-0.7441417910447772,0.417910447761194
baseline_5_15,14,exec,20.0,25.0,year_direction,2023|SHORT,120,16,7,97,-2.7795000000014625,-0.023162500000012187,0.5666666666666667
baseline_5_15,14,exec,20.0,25.0,year_direction,2024|LONG,139,27,11,101,220.7189999999987,1.5879064748201344,0.5251798561151079
baseline_5_15,14,exec,20.0,25.0,year_direction,2024|SHORT,116,31,12,73,145.66150000000084,1.2557025862069038,0.5344827586206896
baseline_5_15,14,exec,20.0,25.0,year_direction,2025|LONG,138,52,33,53,215.7885000000001,1.5636847826086964,0.572463768115942
baseline_5_15,14,exec,20.0,25.0,year_direction,2025|SHORT,109,40,32,37,-246.1065000000026,-2.2578577981651615,0.45871559633027525
baseline_5_15,14,exec,20.0,25.0,year_direction,2026|LONG,81,50,27,4,327.7800000000034,4.046666666666709,0.6419753086419753
baseline_5_15,14,exec,20.0,25.0,year_direction,2026|SHORT,72,42,22,8,263.862000000001,3.664750000000014,0.6111111111111112
baseline_5_15,14,exec,20.0,25.0,year_setup,2023|fresh,30,3,0,27,34.10549999999921,1.1368499999999737,0.6
baseline_5_15,14,exec,20.0,25.0,year_setup,2023|prebroken,224,30,14,180,-136.60000000000082,-0.6098214285714322,0.4732142857142857
baseline_5_15,14,exec,20.0,25.0,year_setup,2024|fresh,30,7,3,20,48.9104999999995,1.6303499999999833,0.5666666666666667
baseline_5_15,14,exec,20.0,25.0,year_setup,2024|prebroken,225,51,20,154,317.47,1.4109777777777779,0.5244444444444445
baseline_5_15,14,exec,20.0,25.0,year_setup,2025|fresh,49,21,8,20,149.68299999999817,3.054755102040779,0.6326530612244898
baseline_5_15,14,exec,20.0,25.0,year_setup,2025|prebroken,198,71,57,70,-180.00100000000066,-0.9090959595959629,0.494949494949495
baseline_5_15,14,exec,20.0,25.0,year_setup,2026|fresh,55,29,16,10,148.54200000000492,2.700763636363726,0.5818181818181818
baseline_5_15,14,exec,20.0,25.0,year_setup,2026|prebroken,98,63,33,2,443.09999999999945,4.521428571428566,0.6530612244897959
robust_selected,14,exec,30.0,20.0,year,2023,254,12,30,212,-17.21750000000293,-0.06778543307087767,0.4881889763779528
robust_selected,14,exec,30.0,20.0,year,2024,255,25,38,192,431.1370000000004,1.690733333333335,0.5137254901960784
robust_selected,14,exec,30.0,20.0,year,2025,247,52,83,112,136.36599999999862,0.5520890688259054,0.46558704453441296
robust_selected,14,exec,30.0,20.0,year,2026,153,70,67,16,716.3075000000035,4.681748366013095,0.49019607843137253
robust_selected,14,exec,30.0,20.0,direction,LONG,492,86,106,300,1075.2580000000023,2.185483739837403,0.4898373983739837
robust_selected,14,exec,30.0,20.0,direction,SHORT,417,73,112,232,191.3349999999973,0.458836930455629,0.4892086330935252
robust_selected,14,exec,30.0,20.0,setup,fresh,164,34,46,84,229.34300000000007,1.3984329268292688,0.5060975609756098
robust_selected,14,exec,30.0,20.0,setup,prebroken,745,125,172,448,1037.2499999999995,1.3922818791946303,0.48590604026845635
robust_selected,14,exec,30.0,20.0,weekday,0,174,32,23,119,604.8804999999991,3.476324712643673,0.5344827586206896
robust_selected,14,exec,30.0,20.0,weekday,1,187,26,55,106,-153.1220000000012,-0.818834224598937,0.46524064171123
robust_selected,14,exec,30.0,20.0,weekday,2,184,31,52,101,-56.72900000000004,-0.3083097826086959,0.42934782608695654
robust_selected,14,exec,30.0,20.0,weekday,3,184,29,49,106,261.67050000000154,1.422122282608704,0.5
robust_selected,14,exec,30.0,20.0,weekday,4,180,41,39,100,609.8930000000003,3.388294444444446,0.5222222222222223
robust_selected,14,exec,30.0,20.0,year_direction,2023|LONG,134,6,14,114,-74.06100000000106,-0.5526940298507542,0.417910447761194
