start_hour,mode,tp,sl,train_n,train_tp_count,train_sl_count,train_eod_count,train_tp_rate_all,train_win_rate_resolved,train_positive_pnl_rate,train_net,train_expectancy,train_median_pnl,train_profit_factor,train_max_drawdown,train_max_losing_streak,oos_n,oos_tp_count,oos_sl_count,oos_eod_count,oos_tp_rate_all,oos_win_rate_resolved,oos_positive_pnl_rate,oos_net,oos_expectancy,oos_median_pnl,oos_profit_factor,oos_max_drawdown,oos_max_losing_streak,all_n,all_tp_count,all_sl_count,all_eod_count,all_tp_rate_all,all_win_rate_resolved,all_positive_pnl_rate,all_net,all_expectancy,all_median_pnl,all_profit_factor,all_max_drawdown,all_max_losing_streak,neighbor_score
10,raw,15.0,9.0,756,246,366,144,0.3253968253968254,0.4019607843137255,0.43253968253968256,604.7335000000003,0.7999120370370374,-5.466249999999832,1.1726187137492594,310.1709999999987,7,153,49,104,0,0.3202614379084967,0.3202614379084967,0.3202614379084967,-201.0,-1.3137254901960784,-9.0,0.7852564102564102,315.0,9,909,295,470,144,0.32453245324532454,0.38562091503267976,0.4136413641364136,403.7335000000003,0.44415126512651293,-9.0,1.09094550131378,318.0,9,0.8543680555555548
10,raw,15.0,11.0,756,259,311,186,0.3425925925925926,0.4543859649122807,0.4642857142857143,630.0329999999979,0.8333769841269812,-1.8427500000000236,1.1687161706648734,262.5574999999985,7,153,60,93,0,0.39215686274509803,0.39215686274509803,0.39215686274509803,-123.0,-0.803921568627451,-11.0,0.8797653958944281,218.0,8,909,319,404,186,0.3509350935093509,0.4412171507607192,0.4521452145214521,507.03299999999786,0.5577920792079184,-3.0909999999998945,1.1065804969333821,262.5574999999985,8,0.846164682539681
10,raw,15.0,10.0,756,255,329,172,0.3373015873015873,0.4366438356164384,0.4523809523809524,716.4684999999988,0.9477096560846545,-2.6475000000000364,1.2007496852378328,281.5579999999984,7,153,54,99,0,0.35294117647058826,0.35294117647058826,0.35294117647058826,-180.0,-1.1764705882352942,-10.0,0.8181818181818182,270.0,8,909,309,428,172,0.33993399339933994,0.41926729986431477,0.43564356435643564,536.4684999999988,0.5901743674367423,-4.130000000000109,1.1176733225275166,281.5579999999984,8,0.8459611992945314
10,raw,8.0,25.0,756,469,71,216,0.6203703703703703,0.8685185185185185,0.6693121693121693,614.9684999999981,0.8134503968253943,8.0,1.1895297187805058,174.61499999999842,6,153,121,29,3,0.7908496732026143,0.8066666666666666,0.7908496732026143,222.85350000000017,1.456558823529413,8.0,1.2990734036863896,152.8814999999995,2,909,590,100,219,0.6490649064906491,0.855072463768116,0.6897689768976898,837.8219999999983,0.9216963696369618,8.0,1.2099881349041843,174.61499999999842,6,0.8303624338624332
10,raw,7.5,20.0,756,480,104,172,0.6349206349206349,0.821917808219178,0.6785714285714286,663.3934999999983,0.8775046296296274,7.5,1.219146394297909,156.22649999999885,6,153,114,37,2,0.7450980392156863,0.7549668874172185,0.7450980392156863,96.17849999999999,0.6286176470588234,7.5,1.1267471994401845,128.5564999999997,4,909,594,141,174,0.6534653465346535,0.8081632653061225,0.6897689768976898,759.5719999999983,0.8356127612761257,7.5,1.2006269426876757,156.22649999999885,6,0.8226451719576706
10,raw,7.5,25.0,756,486,68,202,0.6428571428571429,0.8772563176895307,0.6865079365079365,625.9134999999997,0.8279279100529096,7.5,1.2012809799686492,183.58999999999833,6,153,124,27,2,0.8104575163398693,0.8211920529801324,0.8104575163398693,236.17849999999999,1.5436503267973856,7.5,1.3404023945640198,147.5,2,909,610,95,204,0.671067106710671,0.8652482269503546,0.7073707370737073,862.0919999999996,0.94839603960396,7.5,1.2266592208382237,183.58999999999833,6,0.8176426917989419
10,raw,7.0,20.0,756,502,99,155,0.6640211640211641,0.8352745424292846,0.6970899470899471,731.2144999999991,0.9672149470899459,7.0,1.2574544380346178,153.03599999999983,6,153,117,34,2,0.7647058823529411,0.7748344370860927,0.7647058823529411,120.17849999999999,0.7854803921568626,7.0,1.171973100426933,92.0,4,909,619,133,157,0.680968096809681,0.8231382978723404,0.7084708470847084,851.3929999999991,0.9366259625962586,7.0,1.2405749998869733,153.03599999999983,6,0.8093214285714275
10,raw,8.0,20.0,756,463,107,186,0.6124338624338624,0.8122807017543859,0.6613756613756614,664.4484999999968,0.878900132275128,8.0,1.2111218524876248,154.25149999999894,6,153,111,39,3,0.7254901960784313,0.74,0.7254901960784313,87.85350000000017,0.5742058823529422,8.0,1.1097967684667747,133.8814999999995,4,909,574,146,189,0.6314631463146315,0.7972222222222223,0.6721672167216721,752.301999999997,0.8276149614961462,8.0,1.1905829039761617,154.25149999999894,6,0.7998473048941779
10,raw,7.0,25.0,756,507,67,182,0.6706349206349206,0.8832752613240418,0.7037037037037037,636.4865000000009,0.841913359788361,7.0,1.2143125430044162,162.58449999999903,6,153,127,24,2,0.8300653594771242,0.8410596026490066,0.8300653594771242,270.1785,1.7658725490196077,7.0,1.4366016694636499,72.0,2,909,634,91,184,0.6974697469746974,0.8744827586206897,0.724972497249725,906.6650000000009,0.9974312431243134,7.0,1.2526430036336078,162.58449999999903,6,0.7927206349206355
10,raw,7.5,17.5,756,469,135,152,0.6203703703703703,0.7764900662251656,0.6626984126984127,521.9224999999994,0.6903736772486765,7.5,1.1691828244858158,176.7549999999992,6,153,113,38,2,0.738562091503268,0.7483443708609272,0.738562091503268,163.67849999999999,1.0697941176470587,7.5,1.239358516805921,91.05649999999969,4,909,582,173,154,0.6402640264026402,0.7708609271523179,0.6754675467546755,685.6009999999994,0.7542365236523646,7.5,1.1819157537061695,176.7549999999992,6,0.7822571097883585
