tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_train_score,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_train_score,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,ab_full_final,b_ret_2023,b_ret_2024,b_ret_2025,b_ret_2026,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
8.0,10.0,477.34500000000116,0.35394631137401494,0.6498422712933754,3,0.28662950488345984,445.2160000000001,0.33842376454738693,0.7162698412698413,504,195,2,197.76299999999924,0.39647337790947973,0.536036036036036,1,-0.8519521907768259,1667.0119999999981,0.49327797721461003,0.6986970684039088,614,195,4,0.1998725812294665,0.17714603564886852,794.5060000000014,197.76299999999924,-0.02896666666666614,0.33215474923620936,0.3430978947097163,-0.1458128683693516,0.2979900000000013,0.58647087676587,0.827569293924729,0.4765228358954563
10.0,6.0,489.10700000000156,0.3769097132942639,0.6230283911671924,3,0.2799706918410772,702.3190000000011,0.32556592067329265,0.6607142857142857,504,195,4,194.22899999999868,0.41525293609386166,0.5328185328185329,1,-0.8953360630873751,1319.2449999999992,0.5303959875373911,0.6530944625407166,614,195,4,0.1994201858097579,0.19254065415687274,1321.9320000000037,194.22899999999868,0.09922333333333344,0.5155761492205129,0.3412093551853086,0.04773846482048083,0.3732100000000007,0.4442049407349684,0.3366383229768759,0.6589164345579042
25.0,10.0,526.208000000003,0.43418684084043385,0.637223974763407,3,0.27576186204457764,921.8470000000009,0.37602009301352696,0.6726190476190477,504,195,4,199.7709999999986,0.39009043115081754,0.5328185328185329,1,-0.8332328461750799,2080.1839999999984,0.5389723714331057,0.6628664495114006,614,195,4,0.1986149914595559,0.16981820960661642,1617.7840000000047,199.7709999999986,0.12396333333333587,0.45179706336802683,0.3029783670050812,0.4452478415670209,0.4658133333333361,0.40443075971474607,0.41547628685696814,1.379572263962738
25.0,15.0,527.8560000000032,0.43716304529065714,0.6435331230283912,3,0.2748709334381062,660.3750000000018,0.6148081614430803,0.6924603174603174,504,195,4,194.85199999999895,0.4081008997624555,0.5381818181818182,1,-0.8824783932976046,1580.365,0.6496156815359316,0.6791530944625407,614,195,4,0.19903765294799533,0.19486624867856303,1414.3370000000084,194.85199999999895,0.21855333333333649,0.30277432802832305,0.26482939632545466,0.0962855364183437,0.4052400000000034,0.18664190221362387,0.33604861520623674,1.364523875427349
12.0,6.0,509.46900000000187,0.4134165397511323,0.6167192429022083,3,0.2714742035268132,814.9870000000019,0.33772980896708493,0.6567460317460317,504,195,4,197.9049999999986,0.4041859470916069,0.5328185328185329,1,-0.8616463856550215,1577.7060000000001,0.5630303702100631,0.6498371335504886,614,195,4,0.1997508108634475,0.19833743643904964,1657.9630000000056,197.9049999999986,0.09983000000000031,0.4677177381959081,0.6292228334489689,0.032953648158968285,0.37381666666666735,0.5139259241286462,0.6919531313856533,0.494455842819876
12.0,12.0,489.69100000000185,0.39928004002489303,0.6466876971608833,3,0.2509640512504379,453.15200000000164,0.4051280779216472,0.7023809523809523,504,195,2,195.30399999999918,0.40672786590441196,0.5374449339207048,1,-0.8783077746434637,1074.2009999999998,0.5990038688157934,0.6872964169381107,614,195,4,0.19917045505469677,0.19193827265151533,779.7410000000039,195.30399999999918,-0.060089999999998644,0.3448876310852502,0.2793350596748061,-0.06595870984763519,0.2668666666666688,0.47690627795611307,0.37392328344434933,0.3928936814137949
6.0,20.0,458.43500000000085,0.35477816777500326,0.668769716088328,3,0.24508551386391114,451.03300000000036,0.4992915272696844,0.7678571428571429,504,195,3,198.4089999999992,0.3938656116822233,0.5384615384615384,1,-0.8451704937020738,891.9429999999988,0.6135278063008135,0.741042345276873,614,195,3,0.19906637868397184,0.15646534357833655,716.7500000000018,198.4089999999992,0.1499166666666678,0.06874411189216523,0.9773603840624923,-0.3813270455521216,0.41010000000000213,-0.06482282580431864,1.1863637742411668,0.031215929835838985
25.0,6.0,501.7920000000024,0.428830694439365,0.613564668769716,3,0.23548177904928203,938.5999999999999,0.3136858082469011,0.6349206349206349,504,195,4,965.0780000000041,0.38699971743824507,0.6083445491251682,3,0.9459768338902134,1797.055999999998,0.5170013581134257,0.6319218241042345,614,195,4,0.1999860009799319,0.1999860009799319,1680.0920000000024,12403.53799999999,0.21960333333333448,0.3881015958740712,0.5330393006221896,0.2054970459799641,0.39703333333333535,0.3226503781823391,0.4865641055244412,1.180744997912766
30.0,6.0,501.36300000000256,0.4333586167998902,0.61198738170347,3,0.2285137822867399,958.3059999999989,0.3927140827270071,0.628968253968254,504,195,4,1005.5150000000046,0.38976815320373925,0.6069986541049798,4,1.0832856455714586,1889.4589999999953,0.5280380106597068,0.6270358306188925,614,195,4,0.19824552708529483,0.1899202216368997,1285.7269999999999,10677.504999999981,0.23407000000000067,0.4846618641298075,0.3504993150223803,0.29098511934431404,0.38780000000000125,0.3676202142479703,0.5217186663036988,1.1806675214868858
8.0,15.0,444.22200000000134,0.37584517650905536,0.6561514195583596,3,0.18515097453045304,373.54300000000126,0.3957406016409778,0.7301587301587301,504,195,3,198.95499999999925,0.395888684773864,0.536036036036036,1,-0.8451535306010866,1019.1709999999998,0.5626761231978182,0.7100977198697068,614,195,4,0.19970767788649368,0.17833835467263212,371.3580000000027,198.95499999999925,0.12220333333333433,0.14588265347040696,0.3493470270158172,-0.2823974196175909,0.37555666666666787,0.3942646249881858,0.6288229947146768,0.0874973724112249
