tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score
5.0,20.0,25.0,0.3,BE,TP2,693.5330000000006,2.3117766666666686,0.2718421158430631,0.584051724137931,464,4,0.8710294922936469
5.0,20.0,25.0,0.7,BE,TP2,693.5330000000006,2.3117766666666686,0.2718421158430631,0.584051724137931,464,4,0.8710294922936469
10.0,15.0,25.0,0.5,ORIG,TP2,669.1810000000021,2.2306033333333404,0.24572279327664534,0.5387931034482759,464,4,0.8705463310199542
10.0,15.0,25.0,0.3,ORIG,TP2,669.1810000000021,2.2306033333333404,0.24572279327664534,0.5387931034482759,464,4,0.8705463310199542
10.0,15.0,25.0,0.7,ORIG,TP2,669.1810000000021,2.2306033333333404,0.24572279327664534,0.5387931034482759,464,4,0.8705463310199542
6.0,20.0,25.0,0.3,BE,TP2,696.4560000000013,2.321520000000004,0.2756984302211067,0.5711206896551724,464,4,0.8700292627617718
6.0,20.0,25.0,0.7,BE,TP2,696.4560000000013,2.321520000000004,0.2756984302211067,0.5711206896551724,464,4,0.8700292627617718
6.0,20.0,25.0,0.5,BE,TP2,696.4560000000013,2.321520000000004,0.2756984302211067,0.5711206896551724,464,4,0.8700292627617718
5.0,15.0,25.0,0.7,BE+2,TP2,685.986000000001,2.286620000000003,0.26661132296335666,0.584051724137931,464,4,0.8671494586976394
5.0,15.0,25.0,0.5,BE+2,TP2,685.986000000001,2.286620000000003,0.26661132296335666,0.584051724137931,464,4,0.8671494586976394
5.0,15.0,25.0,0.3,BE+2,TP2,685.986000000001,2.286620000000003,0.26661132296335666,0.584051724137931,464,4,0.8671494586976394
8.0,25.0,20.0,0.5,BE+2,TP2,695.8040000000026,2.319346666666675,0.27928083720099883,0.5538793103448276,464,4,0.8642564066021563
8.0,25.0,20.0,0.3,BE+2,TP2,695.8040000000026,2.319346666666675,0.27928083720099883,0.5538793103448276,464,4,0.8642564066021563
