tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd
8.0,25.0,25.0,0.7,BE,TP2,729.5340000000017,2.4317800000000056,0.25709048521349015,0.5517241379310345,464,4,0.9415513444475953,911.8679999999999,3.03956,0.39491819269638295,0.6440129449838188,309,3,1647.5249999999976,0.44091407726569887,0.31165333333333445,0.7716800170776861,0.3883230127275483,-0.05785912955072381,1.3912592427926112
4.0,15.0,25.0,0.7,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421,856.0930000000001,2.8536433333333338,0.3711972377481567,0.5954692556634305,309,4,2092.3820000000005,0.3930943607189632,0.09243333333333181,0.43137643792146374,0.4071327314780253,0.29692785713528247,1.3501393459538347
8.0,20.0,20.0,0.3,BE+2,TP2,770.6110000000031,2.5687033333333433,0.275885776964102,0.5538793103448276,464,4,0.9709554331236689,899.3269999999989,2.997756666666663,0.4143615969573301,0.6310679611650486,309,3,3048.209999999995,0.43943601974099117,0.17190000000000127,0.7374463122564485,0.6883916088495374,-0.1279904433802278,1.336443757661652
8.0,20.0,20.0,0.5,BE+2,TP2,770.6110000000031,2.5687033333333433,0.275885776964102,0.5538793103448276,464,4,0.9709554331236689,919.3269999999989,3.0644233333333295,0.44411665820942553,0.6310679611650486,309,3,2756.7879999999955,0.4716671446687797,0.17190000000000127,0.7374463122564485,0.7997148161366237,-0.1637365406289486,1.3138780057318493
8.0,25.0,25.0,0.5,BE+2,TP2,734.4810000000014,2.4482700000000044,0.251701367580216,0.5517241379310345,464,4,0.955584806452488,863.6550000000002,2.878850000000001,0.4038507610093335,0.6440129449838188,309,3,2114.2419999999984,0.4180841486259227,0.31165333333333445,0.7902316669038589,0.41905943510459687,-0.13604693619298658,1.3017327341040084
8.0,25.0,25.0,0.3,BE+2,TP2,734.4810000000014,2.4482700000000044,0.251701367580216,0.5517241379310345,464,4,0.955584806452488,857.6550000000002,2.858850000000001,0.40623416990031025,0.6440129449838188,309,3,2198.0189999999984,0.3696825212717636,0.31165333333333445,0.7902316669038589,0.4105421400271676,-0.13686843018955264,1.2885233543028527
6.0,15.0,25.0,0.7,ORIG,TP2,734.1970000000022,2.4473233333333404,0.24741634824840142,0.5452586206896551,464,4,0.9609828401827586,850.0930000000001,2.8336433333333337,0.4006025908575594,0.6051779935275081,309,4,2067.2320000000004,0.4553703581073945,0.09243333333333181,0.43137643792146374,0.5499578985514948,0.1691668053467712,1.2869621810910377
10.0,30.0,25.0,0.5,BE+2,TP2,735.3360000000023,2.4511200000000075,0.2567283458911706,0.5366379310344828,464,4,0.949961796002739,974.1109999999999,3.2470366666666663,0.5086996476895342,0.6245954692556634,309,3,2285.0509999999995,0.5001372372474715,0.37093000000000065,0.613216332465315,0.5495687901103508,-0.05252351156635815,1.2853956792057786
8.0,20.0,25.0,0.7,BE,TP2,724.1760000000017,2.413920000000006,0.256352152160111,0.5517241379310345,464,4,0.93517657669348,854.3029999999994,2.847676666666665,0.4080431126694474,0.6407766990291263,309,3,1690.0499999999975,0.46145270352148576,0.1705700000000001,0.9503034134367607,0.4225685876564096,-0.12316497024026418,1.2803556960480973
10.0,30.0,25.0,0.3,BE+2,TP2,735.3360000000023,2.4511200000000075,0.2567283458911706,0.5366379310344828,464,4,0.949961796002739,970.1239999999998,3.233746666666666,0.5144906984644441,0.6245954692556634,309,3,2198.2949999999987,0.5074468675328055,0.37093000000000065,0.613216332465315,0.5209515857250018,-0.038647381293081984,1.271390660240991
8.0,20.0,25.0,0.7,BE+2,TP2,738.6570000000017,2.462190000000006,0.2468521493917432,0.5517241379310345,464,4,0.9678007961357826,876.4359999999992,2.921453333333331,0.4333729254277554,0.6407766990291263,309,3,1772.3189999999968,0.47148689468991184,0.1705700000000001,1.0195004712803746,0.4854072956471447,-0.1680215978948888,1.2701315094927712
6.0,20.0,25.0,0.7,BE+2,TP2,745.3180000000009,2.4843933333333363,0.2598870697244509,0.5711206896551724,464,4,0.9591809541602507,880.1580000000004,2.933860000000001,0.46882202113992966,0.6731391585760518,309,3,1985.3669999999975,0.5035979835998533,0.1705700000000001,1.1057518986476693,0.399847730631971,-0.14973559591869057,1.219157022239799
6.0,20.0,25.0,0.3,BE+2,TP2,741.3180000000009,2.471060000000003,0.2598870697244509,0.5711206896551724,464,4,0.9537996642510118,879.4880000000003,2.9316266666666677,0.4749273849344155,0.6731391585760518,309,3,2340.1399999999976,0.4711472785093683,0.1705700000000001,1.1057518986476693,0.37730483218590294,-0.13647681661443234,1.2090268236506996
8.0,20.0,20.0,0.7,BE,TP2,755.2000000000025,2.5173333333333416,0.2801266492057886,0.5538793103448276,464,4,0.9450291637472786,829.4329999999991,2.7647766666666636,0.45285954677274715,0.6310679611650486,309,3,2486.083999999997,0.4824823270160828,0.17221000000000086,0.7139022302602205,0.6748070401316681,-0.17831792699465954,1.17222153181783
8.0,30.0,25.0,0.3,BE+2,TP2,729.6350000000023,2.432116666666674,0.2594991216898423,0.5495689655172413,464,4,0.9384381201632694,788.9149999999981,2.6297166666666603,0.431648115592529,0.6440129449838188,309,3,1313.2619999999947,0.5326612686101515,0.37093000000000065,0.7309490637742282,0.3301180076499137,-0.16685763769715367,1.14587382929749
8.0,30.0,25.0,0.5,BE+2,TP2,729.6350000000023,2.432116666666674,0.2594991216898423,0.5495689655172413,464,4,0.9384381201632694,788.9149999999981,2.6297166666666603,0.431648115592529,0.6440129449838188,309,3,1577.5069999999964,0.48887662179557484,0.37093000000000065,0.7309490637742282,0.3301180076499137,-0.16685763769715367,1.14587382929749
